,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-14,Mon,Premier League,Matchweek 1,Away,W 3–1,Chelsea,Brighton,Y,FW,60,0,0,0,0,0,0,0,0,25.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,17.0,64.7,0.0,13.0,1.0,3.0,0.0,/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-10-18,Sun,Premier League,Matchweek 5,Away,D 1–1,Fulham,Sheffield Utd,Y,AM,80,0,0,0,0,2,1,0,0,58.0,2.0,0,0.0,0.1,0.1,0.0,4.0,0.0,45.0,49.0,91.8,7.0,47.0,4.0,2.0,2.0,/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League,0.5,0.5,0.2619047619047618
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-10-24,Sat,Premier League,Matchweek 6,Home,L 1–2,Fulham,Crystal Palace,Y,AM,73,0,0,0,0,0,0,0,0,46.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,39.0,92.3,4.0,33.0,1.0,3.0,2.0,/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League,0.0,0.5,0.3452380952380952
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-11-07,Sat,Premier League,Matchweek 8,Away,L 0–1,Fulham,West Ham,N,RW,8,0,0,0,0,1,0,1,0,5.0,0.0,1,0.0,0.1,0.1,0.0,0.0,0.0,2.0,3.0,66.7,0.0,5.0,2.0,0.0,0.0,/en/matches/f075fddc/West-Ham-United-Fulham-November-7-2020-Premier-League,0.0,0.5,0.3452380952380952
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-11-22,Sun,Premier League,Matchweek 9,Home,L 2–3,Fulham,Everton,N,AM,33,1,0,0,0,1,1,0,0,25.0,0.0,0,1.0,0.4,0.4,0.0,2.0,0.0,20.0,21.0,95.2,1.0,17.0,1.0,2.0,2.0,/en/matches/13524225/Fulham-Everton-November-22-2020-Premier-League,0.0,0.1666666666666666,0.3076923076923077
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-11-30,Mon,Premier League,Matchweek 10,Away,W 2–1,Fulham,Leicester City,Y,RM,76,0,0,0,0,1,0,0,0,32.0,1.0,0,1.0,0.1,0.1,0.0,2.0,0.0,12.0,20.0,60.0,0.0,18.0,1.0,1.0,1.0,/en/matches/ae493b10/Leicester-City-Fulham-November-30-2020-Premier-League,1.0,0.0,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-12-05,Sat,Premier League,Matchweek 11,Away,L 0–2,Fulham,Manchester City,Y,AM,82,0,0,0,0,0,0,0,0,34.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,78.6,2.0,26.0,1.0,2.0,2.0,/en/matches/887dfef6/Manchester-City-Fulham-December-5-2020-Premier-League,0.0,0.3333333333333333,0.7424242424242423
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-12-13,Sun,Premier League,Matchweek 12,Home,D 1–1,Fulham,Liverpool,Y,AM,73,0,0,0,0,0,0,0,0,26.0,0.0,0,0.0,0.0,0.0,0.2,2.0,0.0,16.0,18.0,88.9,4.0,18.0,2.0,1.0,1.0,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League,0.5,0.3333333333333333,0.7261904761904763
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-12-16,Wed,Premier League,Matchweek 13,Home,D 0–0,Fulham,Brighton,Y,AM,76,0,0,0,0,1,1,0,0,33.0,0.0,1,0.0,0.1,0.1,0.0,0.0,0.0,17.0,25.0,68.0,2.0,12.0,3.0,1.0,1.0,/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League,0.5,0.5,0.3095238095238094
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-12-19,Sat,Premier League,Matchweek 14,Away,D 1–1,Fulham,Newcastle Utd,N,FW,14,0,0,0,0,0,0,0,0,7.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,1.0,0.0,0.0,0.0,/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League,0.5,0.3333333333333333,0.619047619047619
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2020-12-26,Sat,Premier League,Matchweek 15,Home,D 0–0,Fulham,Southampton,Y,CM,90,0,0,0,0,1,0,0,0,38.0,2.0,0,1.0,0.0,0.0,0.0,2.0,0.0,16.0,23.0,69.6,2.0,26.0,0.0,3.0,0.0,/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League,0.5,0.5,0.5128205128205128
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-01-09,Sat,FA Cup,Third round proper,Away,W 2–0,Fulham,QPR,Y,AM,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/75c17e4f/Queens-Park-Rangers-Fulham-January-9-2021-FA-Cup,1.0,0.5,0.5
