,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-12,Sat,Premier League,Matchweek 1,Home,W 1–0,Crystal Palace,Southampton,N,CM,17,0,0,0,0,0,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,9.0,12.0,75.0,1.0,3.0,0.0,0.0,0.0,/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-15,Tue,EFL Cup,Second round,Away,D 0 (10)–0 (11),Crystal Palace,Bournemouth,Y*,CM,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/beb48367/Bournemouth-Crystal-Palace-September-15-2020-EFL-Cup,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-09-19,Sat,Premier League,Matchweek 2,Away,W 3–1,Crystal Palace,Manchester Utd,N,CM,3,0,0,0,0,0,0,0,0,6.0,0.0,2,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,1.0,2.0,0.0,1.0,1.0,/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-10-03,Sat,Premier League,Matchweek 4,Away,L 0–4,Crystal Palace,Chelsea,N,CM,24,0,0,0,0,0,0,0,0,25.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,4.0,16.0,0.0,1.0,1.0,/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League,0.0,0.8333333333333334,0.5256410256410257
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-10-08,Thu,UEFA Euro Qualifying,Semi-finals,Away,W 2–1,rs Serbia,no Norway,N,,41,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/166bbe3f/Norway-Serbia-October-8-2020-UEFA-Euro-Qualifying,1.0,0.5,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-11,Sun,UEFA Nations League,League B,Home,L 0–1,rs Serbia,hu Hungary,Y,CM,45,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/fc07042b/Serbia-Hungary-October-11-2020-UEFA-Nations-League,0.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-10-18,Sun,Premier League,Matchweek 5,Home,D 1–1,Crystal Palace,Brighton,N,CM,8,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,2.0,0.0,0.0,0.0,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League,0.5,0.3333333333333333,0.27380952380952384
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-10-24,Sat,Premier League,Matchweek 6,Away,W 2–1,Crystal Palace,Fulham,Y*,CM,90,0,0,0,0,1,0,0,0,67.0,1.0,0,1.0,0.1,0.1,0.1,3.0,0.0,52.0,61.0,85.2,1.0,40.0,0.0,0.0,0.0,/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League,1.0,0.5,0.2976190476190475
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-10-30,Fri,Premier League,Matchweek 7,Away,L 0–2,Crystal Palace,Wolves,Y*,"CM,RM",85,0,0,0,0,1,0,0,1,87.0,1.0,0,2.0,0.1,0.1,0.0,3.0,0.0,71.0,80.0,88.8,7.0,68.0,1.0,0.0,0.0,/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League,0.0,0.5,0.642857142857143
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-12-06,Sun,Premier League,Matchweek 11,Away,W 5–1,Crystal Palace,West Brom,Y*,CM,90,0,0,0,0,1,0,1,0,76.0,1.0,0,0.0,0.0,0.0,0.0,5.0,0.0,57.0,68.0,83.8,9.0,58.0,2.0,0.0,0.0,/en/matches/ac9d70e3/West-Bromwich-Albion-Crystal-Palace-December-6-2020-Premier-League,1.0,0.5,0.3333333333333333
