,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2020-09-12,Sat,Matchweek 3,Home,L 1–2,Crystal Palace,Everton,Y,FW,81,2,0,0,0,0,2,0,0,0,0,0,0,0,0,/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League
1,2020-09-12,Sat,Matchweek 4,Away,L 0–4,Crystal Palace,Chelsea,Y,FW,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League
2,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-09-12,Fri,Matchweek 7,Away,L 0–2,Crystal Palace,Wolves,N,RW,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League
4,2020-09-12,Sat,Matchweek 8,Home,W 4–1,Crystal Palace,Leeds United,Y,FW,84,2,2,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/527aee54/Crystal-Palace-Leeds-United-November-7-2020-Premier-League
5,2020-09-12,Mon,Matchweek 9,Away,L 0–1,Crystal Palace,Burnley,Y,FW,76,1,0,0,1,0,0,0,0,0,0,0,0,0,0,/en/matches/1dde1d03/Burnley-Crystal-Palace-November-23-2020-Premier-League
6,2020-09-12,Fri,Matchweek 10,Home,L 0–2,Crystal Palace,Newcastle Utd,Y,FW,65,2,2,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/0d5962be/Crystal-Palace-Newcastle-United-November-27-2020-Premier-League
7,2020-09-12,Sun,Matchweek 11,Away,W 5–1,Crystal Palace,West Brom,N,RM,17,1,1,0,0,0,0,0,1,1,0,0,0,0,0,/en/matches/ac9d70e3/West-Bromwich-Albion-Crystal-Palace-December-6-2020-Premier-League
8,2020-09-12,Sun,Matchweek 12,Home,D 1–1,Crystal Palace,Tottenham,N,"On matchday squad, but did not play",/en/matches/9b0e267e/Crystal-Palace-Tottenham-Hotspur-December-13-2020-Premier-League,,,,,,,,,,,,,,,
9,2020-09-12,Wed,Matchweek 13,Away,D 1–1,Crystal Palace,West Ham,N,"LM,FW",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/98bf02e0/West-Ham-United-Crystal-Palace-December-16-2020-Premier-League
