,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-12,Sat,Premier League,Matchweek 1,Home,W 1–0,Crystal Palace,Southampton,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,51.9,0.0,2.0,0.0,0.0,0.0,/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-10-24,Sat,Premier League,Matchweek 6,Away,W 2–1,Crystal Palace,Fulham,Y,CB,90,0,0,0,0,0.0,0.0,0,0,43.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,35.0,82.9,0.0,28.0,0.0,1.0,1.0,/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League,1.0,0.5,0.2976190476190475
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-10-30,Fri,Premier League,Matchweek 7,Away,L 0–2,Crystal Palace,Wolves,Y,CB,90,0,0,0,0,1.0,0.0,0,0,79.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,67.0,72.0,93.1,7.0,58.0,0.0,2.0,2.0,/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League,0.0,0.5,0.642857142857143
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-11-07,Sat,Premier League,Matchweek 8,Home,W 4–1,Crystal Palace,Leeds United,Y*,CB,90,1,0,0,0,1.0,1.0,0,0,33.0,0.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,19.0,21.0,90.5,1.0,14.0,0.0,0.0,0.0,/en/matches/527aee54/Crystal-Palace-Leeds-United-November-7-2020-Premier-League,1.0,0.6666666666666666,0.4230769230769231
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-11-23,Mon,Premier League,Matchweek 9,Away,L 0–1,Crystal Palace,Burnley,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,65.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,57.0,84.2,1.0,29.0,0.0,0.0,0.0,/en/matches/1dde1d03/Burnley-Crystal-Palace-November-23-2020-Premier-League,0.0,0.6666666666666666,0.2435897435897435
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-11-27,Fri,Premier League,Matchweek 10,Home,L 0–2,Crystal Palace,Newcastle Utd,Y*,CB,90,0,0,0,0,0.0,0.0,1,0,71.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,67.0,74.6,1.0,44.0,1.0,1.0,1.0,/en/matches/0d5962be/Crystal-Palace-Newcastle-United-November-27-2020-Premier-League,0.0,0.3333333333333333,0.3461538461538461
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-12-16,Wed,Premier League,Matchweek 13,Away,D 1–1,Crystal Palace,West Ham,Y,CB,90,0,0,0,0,1.0,0.0,0,0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,44.0,86.4,1.0,24.0,0.0,0.0,0.0,/en/matches/98bf02e0/West-Ham-United-Crystal-Palace-December-16-2020-Premier-League,0.5,0.3333333333333333,0.619047619047619
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-12-26,Sat,Premier League,Matchweek 15,Away,L 0–3,Crystal Palace,Aston Villa,Y,CB,90,0,0,0,0,1.0,0.0,0,0,50.0,0.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,41.0,45.0,91.1,5.0,25.0,0.0,0.0,0.0,/en/matches/537b6ef8/Aston-Villa-Crystal-Palace-December-26-2020-Premier-League,0.0,0.1666666666666666,0.6904761904761906
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-01-30,Sat,Premier League,Matchweek 21,Home,W 1–0,Crystal Palace,Wolves,Y,CB,90,0,0,0,0,0.0,0.0,0,0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,52.0,90.4,2.0,42.0,0.0,0.0,0.0,/en/matches/111bd050/Crystal-Palace-Wolverhampton-Wanderers-January-30-2021-Premier-League,1.0,0.1666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-02-02,Tue,Premier League,Matchweek 22,Away,W 2–1,Crystal Palace,Newcastle Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,64.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,47.0,54.0,87.0,6.0,26.0,1.0,0.0,0.0,/en/matches/ca8297c0/Newcastle-United-Crystal-Palace-February-2-2021-Premier-League,1.0,0.5,0.5
