,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-07,Sun,Premier League,Matchweek 1,Home,D 2–2,Leicester City,Brentford,Y,DM,72,1,0,0,0,1,1,0,0,55.0,1.0,2,0.0,0.0,0.0,0.0,4.0,1.0,40.0,45.0,88.9,11.0,44.0,2.0,1.0,1.0,/en/matches/3249ba27/Leicester-City-Brentford-August-7-2022-Premier-League,0.5,0.5,0.5625
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Away,L 2–4,Leicester City,Arsenal,Y,"DM,LM",90,0,0,0,0,1,0,0,0,53.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,32.0,48.0,66.7,3.0,36.0,2.0,3.0,1.0,/en/matches/7483b97f/Arsenal-Leicester-City-August-13-2022-Premier-League,0.0,0.5,0.5666666666666667
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-20,Sat,Premier League,Matchweek 3,Home,L 1–2,Leicester City,Southampton,Y,"CM,LW,AM",90,0,0,0,0,0,0,0,0,59.0,5.0,0,1.0,0.0,0.0,0.1,2.0,0.0,32.0,47.0,68.1,5.0,31.0,5.0,4.0,3.0,/en/matches/02efd4d1/Leicester-City-Southampton-August-20-2022-Premier-League,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-23,Tue,EFL Cup,Second round,Away,D 0 (3)–0 (1),Leicester City,Stockport,N,,49,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/17a75295/Stockport-Leicester-City-August-23-2022-EFL-Cup,0.5,0.1666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-08-27,Sat,Premier League,Matchweek 4,Away,L 1–2,Leicester City,Chelsea,Y,CM,90,0,0,0,0,0,0,1,0,62.0,0.0,1,3.0,0.0,0.0,0.1,3.0,0.0,35.0,53.0,66.0,6.0,23.0,2.0,2.0,0.0,/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,0.0,0.1666666666666666,0.5111111111111111
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-09-01,Thu,Premier League,Matchweek 5,Home,L 0–1,Leicester City,Manchester Utd,Y,CM,90,0,0,0,0,3,1,0,0,67.0,4.0,1,0.0,0.1,0.1,0.3,6.0,0.0,36.0,51.0,70.6,3.0,34.0,2.0,4.0,2.0,/en/matches/c1f25d02/Leicester-City-Manchester-United-September-1-2022-Premier-League,0.0,0.1666666666666666,0.6904761904761905
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-09-04,Sun,Premier League,Matchweek 6,Away,L 2–5,Leicester City,Brighton,N,CM,19,0,0,0,0,0,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,2.0,12.0,0.0,1.0,1.0,/en/matches/42d5b3b1/Brighton-and-Hove-Albion-Leicester-City-September-4-2022-Premier-League,0.0,0.1666666666666666,0.6555555555555556
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-09-17,Sat,Premier League,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,Y,CM,73,0,0,0,0,1,0,0,0,66.0,0.0,0,2.0,0.1,0.1,0.2,5.0,1.0,48.0,56.0,85.7,5.0,42.0,2.0,2.0,0.0,/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League,0.0,0.0,0.7333333333333335
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-03,Mon,Premier League,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,CM,90,0,0,0,0,3,0,0,0,63.0,2.0,3,1.0,0.3,0.3,0.0,4.0,1.0,31.0,46.0,67.4,5.0,28.0,3.0,1.0,0.0,/en/matches/a7976021/Leicester-City-Nottingham-Forest-October-3-2022-Premier-League,1.0,0.0,0.1770833333333333
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-08,Sat,Premier League,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,Y,CM,90,0,0,0,0,0,0,0,0,51.0,1.0,2,2.0,0.0,0.0,0.1,1.0,0.0,35.0,42.0,83.3,7.0,27.0,1.0,0.0,0.0,/en/matches/7db2a40a/Bournemouth-Leicester-City-October-8-2022-Premier-League,0.0,0.3333333333333333,0.5833333333333334
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2022-10-15,Sat,Premier League,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,CM,90,0,0,0,0,1,0,0,0,48.0,2.0,0,1.0,0.1,0.1,0.1,5.0,0.0,36.0,44.0,81.8,7.0,36.0,4.0,1.0,1.0,/en/matches/37677e58/Leicester-City-Crystal-Palace-October-15-2022-Premier-League,0.5,0.3333333333333333,0.5666666666666667
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-10-20,Thu,Premier League,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,Y,"CM,LM",90,0,1,0,0,0,0,0,0,55.0,0.0,0,5.0,0.0,0.0,0.5,2.0,1.0,32.0,41.0,78.0,3.0,29.0,0.0,5.0,1.0,/en/matches/6356af5a/Leicester-City-Leeds-United-October-20-2022-Premier-League,1.0,0.5,0.2187499999999999
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2022-10-23,Sun,Premier League,Matchweek 13,Away,W 4–0,Leicester City,Wolves,Y,CM,61,0,1,0,0,0,0,0,0,41.0,2.0,1,0.0,0.0,0.0,0.2,1.0,1.0,20.0,32.0,62.5,2.0,19.0,4.0,1.0,1.0,/en/matches/8774e664/Wolverhampton-Wanderers-Leicester-City-October-23-2022-Premier-League,1.0,0.5,0.311111111111111
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2022-10-29,Sat,Premier League,Matchweek 14,Home,L 0–1,Leicester City,Manchester City,Y,CM,45,0,0,0,0,0,0,0,0,18.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,78.6,1.0,12.0,0.0,0.0,0.0,/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,0.0,0.8333333333333334,0.5384615384615384
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-11-05,Sat,Premier League,Matchweek 15,Away,W 2–0,Leicester City,Everton,Y,CM,77,0,0,0,0,1,0,0,0,48.0,0.0,0,2.0,0.1,0.1,0.4,8.0,0.0,29.0,38.0,76.3,7.0,36.0,5.0,4.0,3.0,/en/matches/831c73fc/Everton-Leicester-City-November-5-2022-Premier-League,1.0,0.6666666666666666,0.5520833333333333
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2022-11-12,Sat,Premier League,Matchweek 16,Away,W 2–0,Leicester City,West Ham,Y,CM,67,0,0,0,0,0,0,0,0,38.0,0.0,0,2.0,0.0,0.0,0.1,2.0,0.0,24.0,31.0,77.4,5.0,19.0,3.0,0.0,0.0,/en/matches/6e89557a/West-Ham-United-Leicester-City-November-12-2022-Premier-League,1.0,0.6666666666666666,0.3461538461538461
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2022-12-26,Mon,Premier League,Matchweek 17,Home,L 0–3,Leicester City,Newcastle Utd,Y,AM,90,0,0,0,0,1,1,0,0,52.0,2.0,0,2.0,0.1,0.1,0.1,1.0,0.0,30.0,38.0,78.9,2.0,32.0,5.0,3.0,1.0,/en/matches/8e186153/Leicester-City-Newcastle-United-December-26-2022-Premier-League,0.0,0.6666666666666666,0.788888888888889
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2022-12-30,Fri,Premier League,Matchweek 18,Away,L 1–2,Leicester City,Liverpool,Y,AM,90,1,0,0,0,3,1,0,0,71.0,4.0,0,3.0,0.7,0.7,0.0,2.0,1.0,33.0,45.0,73.3,5.0,37.0,4.0,5.0,2.0,/en/matches/c5e4ccf5/Liverpool-Leicester-City-December-30-2022-Premier-League,0.0,0.6666666666666666,0.6444444444444444
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2023-01-21,Sat,Premier League,Matchweek 21,Home,D 2–2,Leicester City,Brighton,Y,FW,68,0,0,0,0,0,0,0,0,38.0,2.0,0,2.0,0.0,0.0,0.1,3.0,0.0,22.0,28.0,78.6,5.0,21.0,2.0,3.0,1.0,/en/matches/bcbbc55f/Leicester-City-Brighton-and-Hove-Albion-January-21-2023-Premier-League,0.5,0.3333333333333333,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2023-01-28,Sat,FA Cup,Fourth round proper,Away,W 1–0,Leicester City,Walsall,Y,AM,90,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/472f9641/Walsall-Leicester-City-January-28-2023-FA-Cup,1.0,0.1666666666666666,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2023-02-04,Sat,Premier League,Matchweek 22,Away,W 4–2,Leicester City,Aston Villa,Y,DM,66,0,0,0,0,0,0,0,0,45.0,2.0,2,2.0,0.0,0.0,0.0,2.0,1.0,23.0,32.0,71.9,4.0,24.0,0.0,3.0,2.0,/en/matches/76a2a22c/Aston-Villa-Leicester-City-February-4-2023-Premier-League,1.0,0.5,0.5
