,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-13,Fri,Premier League,Matchweek 1,Away,L 0–2,Arsenal,Brentford,Y,AM,90,0,0,0,0,2.0,1.0,0,0,57.0,0.0,0.0,0.0,0.1,0.1,0.1,4.0,0.0,49.0,51.0,96.1,13.0,44.0,6.0,3.0,2.0,/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-22,Sun,Premier League,Matchweek 2,Home,L 0–2,Arsenal,Chelsea,Y,AM,90,0,0,0,0,2.0,1.0,0,0,47.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,33.0,39.0,84.6,6.0,34.0,5.0,5.0,4.0,/en/matches/93954213/North-West-London-Derby-Arsenal-Chelsea-August-22-2021-Premier-League,0.0,0.5,0.5357142857142857
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-28,Sat,Premier League,Matchweek 3,Away,L 0–5,Arsenal,Manchester City,Y,"CM,LM",90,0,0,0,0,0.0,0.0,0,0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,73.3,1.0,12.0,2.0,2.0,1.0,/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League,0.0,0.5,0.4642857142857142
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-11,Sat,Premier League,Matchweek 4,Home,W 1–0,Arsenal,Norwich City,N,DM,29,0,0,0,0,1.0,1.0,0,0,15.0,0.0,0.0,0.0,0.3,0.3,0.1,4.0,0.0,12.0,13.0,92.3,4.0,9.0,4.0,0.0,0.0,/en/matches/4ac58f71/Arsenal-Norwich-City-September-11-2021-Premier-League,1.0,0.0,0.3095238095238095
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-18,Sat,Premier League,Matchweek 5,Away,W 1–0,Arsenal,Burnley,Y,CM,60,0,0,0,0,2.0,1.0,0,0,40.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,26.0,30.0,86.7,1.0,24.0,2.0,1.0,0.0,/en/matches/a427debc/Burnley-Arsenal-September-18-2021-Premier-League,1.0,0.3333333333333333,0.2499999999999999
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-22,Wed,EFL Cup,Third round,Home,W 3–0,Arsenal,AFC Wimbledon,N,,31,1,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/ea446884/Arsenal-AFC-Wimbledon-September-22-2021-EFL-Cup,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-26,Sun,Premier League,Matchweek 6,Home,W 3–1,Arsenal,Tottenham,Y,LW,87,1,1,0,0,1.0,1.0,0,0,32.0,0.0,0.0,0.0,0.2,0.2,0.2,4.0,2.0,23.0,26.0,88.5,3.0,28.0,2.0,2.0,2.0,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,1.0,1.0,0.3214285714285714
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-02,Sat,Premier League,Matchweek 7,Away,D 0–0,Arsenal,Brighton,Y,"LW,AM",90,0,0,0,0,1.0,1.0,0,0,40.0,1.0,1.0,3.0,0.1,0.1,0.0,3.0,0.0,24.0,27.0,88.9,6.0,23.0,4.0,5.0,3.0,/en/matches/cdaded7b/Brighton-and-Hove-Albion-Arsenal-October-2-2021-Premier-League,0.5,1.0,0.8076923076923077
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-18,Mon,Premier League,Matchweek 8,Home,D 2–2,Arsenal,Crystal Palace,Y,"CM,LW",90,0,0,0,0,2.0,1.0,0,0,58.0,0.0,0.0,2.0,0.2,0.2,0.0,2.0,0.0,42.0,48.0,87.5,1.0,29.0,2.0,4.0,2.0,/en/matches/0f3a1892/Arsenal-Crystal-Palace-October-18-2021-Premier-League,0.5,0.8333333333333334,0.4761904761904761
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-10-22,Fri,Premier League,Matchweek 9,Home,W 3–1,Arsenal,Aston Villa,Y,LW,90,1,1,0,0,2.0,1.0,0,0,65.0,1.0,2.0,0.0,0.2,0.2,0.2,8.0,1.0,47.0,57.0,82.5,9.0,48.0,7.0,3.0,3.0,/en/matches/ac95a75a/Arsenal-Aston-Villa-October-22-2021-Premier-League,1.0,0.6666666666666666,0.4166666666666666
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-10-26,Tue,EFL Cup,Fourth round,Home,W 2–0,Arsenal,Leeds United,Y,AM,71,0,0,0,0,1.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/2dc8556d/Arsenal-Leeds-United-October-26-2021-EFL-Cup,1.0,0.6666666666666666,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-10-30,Sat,Premier League,Matchweek 10,Away,W 2–0,Arsenal,Leicester City,Y,LM,89,1,0,0,0,1.0,1.0,0,0,31.0,0.0,1.0,1.0,0.1,0.1,0.2,2.0,0.0,19.0,24.0,79.2,1.0,11.0,3.0,2.0,2.0,/en/matches/719b57c6/Leicester-City-Arsenal-October-30-2021-Premier-League,1.0,0.8333333333333334,0.7738095238095237
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-11-07,Sun,Premier League,Matchweek 11,Home,W 1–0,Arsenal,Watford,Y,"LM,LW",85,1,0,0,0,2.0,1.0,0,0,39.0,1.0,0.0,2.0,0.2,0.2,0.0,0.0,0.0,22.0,29.0,75.9,1.0,24.0,2.0,2.0,2.0,/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League,1.0,1.0,0.3333333333333333
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-11-12,Fri,WCQ,First round,Home,W 5–0,eng England,al Albania,N,,14,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a7100028/England-Albania-November-12-2021-WCQ----UEFA-M,1.0,1.0,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-11-15,Mon,WCQ,First round,Away,W 10–0,eng England,sm San Marino,Y,FW,72,1,1,0,0,3.0,2.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/4a3eae2f/San-Marino-England-November-15-2021-WCQ----UEFA-M,1.0,1.0,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-11-20,Sat,Premier League,Matchweek 12,Away,L 0–4,Arsenal,Liverpool,Y,LM,90,0,0,0,0,0.0,0.0,0,0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,2.0,21.0,2.0,2.0,0.0,/en/matches/e9ea66e1/Liverpool-Arsenal-November-20-2021-Premier-League,0.0,1.0,0.5595238095238095
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-11-27,Sat,Premier League,Matchweek 13,Home,W 2–0,Arsenal,Newcastle Utd,Y,LM,90,0,0,0,0,4.0,1.0,0,0,69.0,0.0,0.0,0.0,0.6,0.6,0.2,7.0,1.0,47.0,59.0,79.7,4.0,47.0,3.0,3.0,2.0,/en/matches/067e0ab9/Arsenal-Newcastle-United-November-27-2021-Premier-League,1.0,0.6666666666666666,0.369047619047619
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2021-12-02,Thu,Premier League,Matchweek 14,Away,L 2–3,Arsenal,Manchester Utd,Y,LM,69,1,0,0,0,1.0,1.0,0,0,36.0,1.0,2.0,0.0,0.0,0.0,0.1,1.0,0.0,19.0,26.0,73.1,0.0,13.0,0.0,0.0,0.0,/en/matches/4323a38f/Manchester-United-Arsenal-December-2-2021-Premier-League,0.0,0.6666666666666666,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2021-12-15,Wed,Premier League,Matchweek 17,Home,W 2–0,Arsenal,West Ham,N,FW,25,1,0,0,0,2.0,2.0,0,0,20.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,13.0,17.0,76.5,1.0,10.0,1.0,0.0,0.0,/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League,1.0,0.3333333333333333,0.653846153846154
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2021-12-18,Sat,Premier League,Matchweek 18,Away,W 4–1,Arsenal,Leeds United,N,"AM,LW",13,1,0,0,0,1.0,1.0,0,0,7.0,1.0,1.0,0.0,0.4,0.4,0.0,2.0,1.0,3.0,4.0,75.0,0.0,5.0,1.0,0.0,0.0,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League,1.0,0.6666666666666666,0.1547619047619047
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2021-12-21,Tue,EFL Cup,Quarter-finals,Home,W 5–1,Arsenal,Sunderland,Y,AM,79,0,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/072fa153/Arsenal-Sunderland-December-21-2021-EFL-Cup,1.0,0.6666666666666666,0.5
