,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Away,L 0–1,Wolves,Leicester City,Y,CM,65,0,0,0,0,1.0,0.0,0,0,46.0,3.0,1.0,0.0,0.0,0.0,0.4,1.0,0.0,33.0,38.0,86.8,2.0,28.0,0.0,0.0,0.0,/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League,0.0,0.5,0.511904761904762
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-22,Sun,Premier League,Matchweek 2,Home,L 0–1,Wolves,Tottenham,Y,CM,71,0,0,0,0,1.0,0.0,0,0,46.0,2.0,1.0,0.0,0.1,0.1,0.1,5.0,0.0,33.0,40.0,82.5,5.0,22.0,2.0,1.0,1.0,/en/matches/26ceb3c9/Wolverhampton-Wanderers-Tottenham-Hotspur-August-22-2021-Premier-League,0.0,0.5,0.5714285714285714
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-24,Tue,EFL Cup,Second round,Away,W 4–0,Wolves,Nott'ham Forest,Y,DM,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/50de9c05/Nottingham-Forest-Wolverhampton-Wanderers-August-24-2021-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-29,Sun,Premier League,Matchweek 3,Home,L 0–1,Wolves,Manchester Utd,Y,CM,90,0,0,0,0,1.0,0.0,0,0,61.0,3.0,0.0,1.0,0.1,0.1,0.2,1.0,0.0,42.0,54.0,77.8,5.0,25.0,2.0,0.0,0.0,/en/matches/871109e6/Wolverhampton-Wanderers-Manchester-United-August-29-2021-Premier-League,0.0,0.3333333333333333,0.5357142857142858
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-01,Wed,WCQ,First round,Home,W 2–1,pt Portugal,ie Rep. of Ireland,N,,18,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0cbf3fca/Portugal-Republic-of-Ireland-September-1-2021-WCQ----UEFA-M,1.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-04,Sat,Friendlies (M),Friendlies (M),Away,W 3–1,pt Portugal,qa Qatar,Y*,CM,58,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/f47c4bcc/Qatar-Portugal-September-4-2021-Friendlies-M,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-07,Tue,WCQ,First round,Away,W 3–0,pt Portugal,az Azerbaijan,Y*,CM,77,0,0,0,0,1.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/bdb152de/Azerbaijan-Portugal-September-7-2021-WCQ----UEFA-M,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-11,Sat,Premier League,Matchweek 4,Away,W 2–0,Wolves,Watford,Y,CM,90,0,0,0,0,1.0,0.0,0,0,58.0,0.0,1.0,0.0,0.1,0.1,0.4,5.0,0.0,50.0,55.0,90.9,3.0,32.0,0.0,1.0,1.0,/en/matches/09db0909/Watford-Wolverhampton-Wanderers-September-11-2021-Premier-League,1.0,1.0,0.4871794871794871
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-09-18,Sat,Premier League,Matchweek 5,Home,L 0–2,Wolves,Brentford,Y,CM,90,0,0,0,0,0.0,0.0,0,0,79.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,62.0,73.0,84.9,7.0,47.0,5.0,0.0,0.0,/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League,0.0,1.0,0.4523809523809523
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-09-22,Wed,EFL Cup,Third round,Home,D 2 (2)–2 (3),Wolves,Tottenham,N,,37,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c1b6e56d/Wolverhampton-Wanderers-Tottenham-Hotspur-September-22-2021-EFL-Cup,0.5,0.6666666666666666,0.5
