,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-27,Sat,First Division A,Regular season,Away,W 3–1,Club Brugge,Waasland-Bev,Y,LM,86,0,0,0,0,4,2,0,0,40.0,0.0,0,0.0,0.8,0.8,0.1,5.0,0.0,23.0,32.0,71.9,3.0,23.0,5.0,2.0,0.0,/en/matches/4055112e/Waasland-Beveren-Club-Brugge-July-27-2019-Belgian-First-Division-A,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-09-25,Wed,EFL Cup,Third round,Away,L 0–2,Bournemouth,Burton Albion,N,,30,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a33fa522/Burton-Albion-Bournemouth-September-25-2019-EFL-Cup,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-09-28,Sat,Premier League,Matchweek 7,Home,D 2–2,Bournemouth,West Ham,N,LM,14,0,0,0,0,0,0,0,0,16.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,1.0,13.0,1.0,2.0,2.0,/en/matches/704e536e/Bournemouth-West-Ham-United-September-28-2019-Premier-League,0.5,0.5,0.6428571428571429
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Bournemouth,Arsenal,N,LM,12,0,0,0,0,1,0,0,0,9.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,0.0,5.0,0.0,0.0,0.0,/en/matches/9575566f/Arsenal-Bournemouth-October-6-2019-Premier-League,0.0,0.5,0.8214285714285714
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-10-19,Sat,Premier League,Matchweek 9,Home,D 0–0,Bournemouth,Norwich City,N,LM,22,0,0,0,0,3,1,0,0,8.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,4.0,75.0,1.0,7.0,3.0,0.0,0.0,/en/matches/d71c01eb/Bournemouth-Norwich-City-October-19-2019-Premier-League,0.5,0.1666666666666666,0.1785714285714285
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-10-26,Sat,Premier League,Matchweek 10,Away,D 0–0,Bournemouth,Watford,Y,LM,60,0,0,0,0,1,1,0,0,30.0,0.0,1,0.0,0.3,0.3,0.0,1.0,0.0,20.0,26.0,76.9,4.0,25.0,4.0,4.0,1.0,/en/matches/1ef8e186/Watford-Bournemouth-October-26-2019-Premier-League,0.5,0.3333333333333333,0.4404761904761904
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-11-09,Sat,Premier League,Matchweek 12,Away,L 1–2,Bournemouth,Newcastle Utd,N,WB,13,0,0,0,0,0,0,0,0,14.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,0.0,11.0,4.0,2.0,1.0,/en/matches/698f846d/Newcastle-United-Bournemouth-November-9-2019-Premier-League,0.0,0.3333333333333333,0.5238095238095238
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-11-23,Sat,Premier League,Matchweek 13,Home,L 1–2,Bournemouth,Wolves,N,RM,45,0,0,0,0,1,0,0,0,17.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,12.0,14.0,85.7,1.0,17.0,1.0,6.0,5.0,/en/matches/219643bc/Bournemouth-Wolverhampton-Wanderers-November-23-2019-Premier-League,0.0,0.3333333333333333,0.861111111111111
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-11-30,Sat,Premier League,Matchweek 14,Away,L 2–3,Bournemouth,Tottenham,Y,"RM,LM",90,0,0,0,0,2,2,0,0,50.0,1.0,3,0.0,0.1,0.1,0.0,4.0,1.0,32.0,40.0,80.0,6.0,38.0,4.0,5.0,4.0,/en/matches/1722ba52/Tottenham-Hotspur-Bournemouth-November-30-2019-Premier-League,0.0,0.1666666666666666,0.869047619047619
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-12-03,Tue,Premier League,Matchweek 15,Away,L 0–1,Bournemouth,Crystal Palace,Y,LM,63,0,0,0,0,0,0,0,0,37.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,30.0,80.0,3.0,30.0,3.0,1.0,1.0,/en/matches/fd541a1f/Crystal-Palace-Bournemouth-December-3-2019-Premier-League,0.0,0.0,0.423076923076923
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2019-12-07,Sat,Premier League,Matchweek 16,Home,L 0–3,Bournemouth,Liverpool,Y,RM,90,0,0,0,0,2,0,0,0,30.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,15.0,22.0,68.2,1.0,16.0,1.0,5.0,3.0,/en/matches/b7f0ca17/Bournemouth-Liverpool-December-7-2019-Premier-League,0.0,0.0,0.8214285714285714
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2020-06-20,Sat,Premier League,Matchweek 30,Home,L 0–2,Bournemouth,Crystal Palace,N,LM,45,0,0,0,0,0,0,0,0,27.0,2.0,0,0.0,0.0,0.0,0.1,3.0,0.0,20.0,21.0,95.2,2.0,19.0,3.0,4.0,1.0,/en/matches/c4d88352/Bournemouth-Crystal-Palace-June-20-2020-Premier-League,0.0,0.0,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2020-06-24,Wed,Premier League,Matchweek 31,Away,L 0–1,Bournemouth,Wolves,N,LW,25,0,0,0,0,1,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,7.0,0.0,1.0,0.0,/en/matches/4f61e5af/Wolverhampton-Wanderers-Bournemouth-June-24-2020-Premier-League,0.0,0.0,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2020-07-01,Wed,Premier League,Matchweek 32,Home,L 1–4,Bournemouth,Newcastle Utd,Y,LM,61,0,0,0,0,1,0,0,0,24.0,0.0,0,0.0,0.1,0.1,0.1,1.0,0.0,15.0,18.0,83.3,1.0,16.0,6.0,5.0,2.0,/en/matches/92aaad57/Bournemouth-Newcastle-United-July-1-2020-Premier-League,0.0,0.0,0.5
