,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Away,W 3–0,Brighton,Watford,Y,"RW,RM",90,0,0,0,0,0,0,0,0,53.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,30.0,44.0,68.2,7.0,26.0,2.0,0.0,0.0,/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Home,D 1–1,Brighton,West Ham,Y,RW,66,0,0,0,0,1,0,0,0,53.0,3.0,0,1.0,0.1,0.1,0.6,8.0,1.0,34.0,41.0,82.9,6.0,16.0,2.0,0.0,0.0,/en/matches/894d0ca5/Brighton-and-Hove-Albion-West-Ham-United-August-17-2019-Premier-League,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 0–2,Brighton,Southampton,N,CM,13,0,0,0,0,0,0,0,0,19.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,15.0,19.0,78.9,1.0,15.0,2.0,2.0,1.0,/en/matches/baece203/Brighton-and-Hove-Albion-Southampton-August-24-2019-Premier-League,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–1,Brighton,Bristol Rovers,Y,CM,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/f3750880/Bristol-Rovers-Brighton-and-Hove-Albion-August-27-2019-EFL-Cup,1.0,0.5,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 0–4,Brighton,Manchester City,N,RW,17,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,58.3,1.0,8.0,0.0,0.0,0.0,/en/matches/5b9865ad/Manchester-City-Brighton-and-Hove-Albion-August-31-2019-Premier-League,0.0,0.5,0.7857142857142858
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-14,Sat,Premier League,Matchweek 5,Home,D 1–1,Brighton,Burnley,Y,RW,90,0,0,0,0,2,0,0,0,70.0,2.0,0,0.0,0.1,0.1,0.3,8.0,0.0,43.0,61.0,70.5,12.0,37.0,4.0,1.0,0.0,/en/matches/1d3bbc27/Brighton-and-Hove-Albion-Burnley-September-14-2019-Premier-League,0.5,0.3333333333333333,0.2142857142857142
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-21,Sat,Premier League,Matchweek 6,Away,D 0–0,Brighton,Newcastle Utd,Y,RW,80,0,0,0,0,2,0,0,0,68.0,0.0,0,2.0,0.1,0.1,0.6,5.0,0.0,45.0,63.0,71.4,5.0,31.0,0.0,0.0,0.0,/en/matches/966fb8b0/Newcastle-United-Brighton-and-Hove-Albion-September-21-2019-Premier-League,0.5,0.5,0.3928571428571428
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Brighton,Chelsea,Y,"DM,CM,FW",90,0,0,0,0,2,0,0,0,57.0,3.0,1,0.0,0.2,0.2,0.3,3.0,0.0,29.0,43.0,67.4,3.0,23.0,5.0,0.0,0.0,/en/matches/1d4b5564/Chelsea-Brighton-and-Hove-Albion-September-28-2019-Premier-League,0.0,0.3333333333333333,0.4404761904761905
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-10-05,Sat,Premier League,Matchweek 8,Home,W 3–0,Brighton,Tottenham,Y,"RM,RW,CM",90,0,0,0,0,3,1,0,0,65.0,1.0,0,1.0,0.2,0.2,0.1,5.0,0.0,49.0,61.0,80.3,17.0,39.0,4.0,0.0,0.0,/en/matches/aafb2d3a/Brighton-and-Hove-Albion-Tottenham-Hotspur-October-5-2019-Premier-League,1.0,0.3333333333333333,0.4166666666666666
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10-19,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Aston Villa,Y,RM,90,0,1,0,0,3,0,0,0,66.0,3.0,2,3.0,0.1,0.1,0.6,10.0,1.0,41.0,53.0,77.4,9.0,31.0,6.0,3.0,3.0,/en/matches/34685c72/Aston-Villa-Brighton-and-Hove-Albion-October-19-2019-Premier-League,0.0,0.5,0.6547619047619048
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2019-10-26,Sat,Premier League,Matchweek 10,Home,W 3–2,Brighton,Everton,Y,LM,64,1,0,0,0,1,1,0,0,39.0,0.0,0,1.0,0.1,0.1,0.0,2.0,1.0,19.0,32.0,59.4,4.0,18.0,0.0,2.0,0.0,/en/matches/f728ceea/Brighton-and-Hove-Albion-Everton-October-26-2019-Premier-League,1.0,0.3333333333333333,0.6071428571428571
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2019-11-02,Sat,Premier League,Matchweek 11,Home,W 2–0,Brighton,Norwich City,Y,RM,58,0,0,0,0,1,0,0,0,53.0,3.0,0,2.0,0.1,0.1,0.1,4.0,0.0,31.0,44.0,70.5,3.0,24.0,1.0,0.0,0.0,/en/matches/21f39009/Brighton-and-Hove-Albion-Norwich-City-November-2-2019-Premier-League,1.0,0.6666666666666666,0.1904761904761904
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2019-11-10,Sun,Premier League,Matchweek 12,Away,L 1–3,Brighton,Manchester Utd,N,AM,32,0,1,0,0,1,1,0,0,33.0,1.0,0,1.0,0.1,0.1,0.2,1.0,1.0,18.0,26.0,69.2,3.0,16.0,1.0,0.0,0.0,/en/matches/014bbabe/Manchester-United-Brighton-and-Hove-Albion-November-10-2019-Premier-League,0.0,0.6666666666666666,0.6785714285714286
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2019-11-30,Sat,Premier League,Matchweek 14,Away,L 1–2,Brighton,Liverpool,Y,"AM,RW",90,0,0,0,0,1,1,0,0,66.0,1.0,1,0.0,0.0,0.0,0.2,3.0,0.0,41.0,56.0,73.2,7.0,27.0,0.0,0.0,0.0,/en/matches/2c240ae6/Liverpool-Brighton-and-Hove-Albion-November-30-2019-Premier-League,0.0,0.6666666666666666,0.8333333333333334
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2019-12-05,Thu,Premier League,Matchweek 15,Away,W 2–1,Brighton,Arsenal,Y,AM,79,0,0,0,0,1,0,1,0,50.0,1.0,0,1.0,0.1,0.1,0.5,10.0,1.0,31.0,45.0,68.9,2.0,17.0,2.0,0.0,0.0,/en/matches/372828cb/Arsenal-Brighton-and-Hove-Albion-December-5-2019-Premier-League,1.0,0.3333333333333333,0.3452380952380952
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2019-12-08,Sun,Premier League,Matchweek 16,Home,D 2–2,Brighton,Wolves,Y,RW,67,0,0,0,0,1,1,0,0,37.0,1.0,0,1.0,0.1,0.1,0.1,2.0,0.0,20.0,32.0,62.5,2.0,15.0,1.0,0.0,0.0,/en/matches/daad5806/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-December-8-2019-Premier-League,0.5,0.3333333333333333,0.7142857142857142
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2019-12-16,Mon,Premier League,Matchweek 17,Away,D 1–1,Brighton,Crystal Palace,Y,"AM,CM",89,0,1,0,0,1,1,0,0,55.0,1.0,0,1.0,0.0,0.0,0.5,5.0,1.0,40.0,51.0,78.4,4.0,27.0,1.0,0.0,0.0,/en/matches/1163ec4a/Crystal-Palace-Brighton-and-Hove-Albion-December-16-2019-Premier-League,0.5,0.5,0.7051282051282051
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2019-12-21,Sat,Premier League,Matchweek 18,Home,L 0–1,Brighton,Sheffield Utd,Y,"AM,RW",45,0,0,0,0,0,0,0,0,24.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,24.0,70.8,2.0,16.0,0.0,0.0,0.0,/en/matches/473db5a3/Brighton-and-Hove-Albion-Sheffield-United-December-21-2019-Premier-League,0.0,0.6666666666666666,0.6666666666666666
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2019-12-26,Thu,Premier League,Matchweek 19,Away,L 1–2,Brighton,Tottenham,Y,AM,90,0,1,0,0,3,2,1,0,59.0,0.0,1,3.0,0.2,0.2,0.3,5.0,1.0,32.0,46.0,69.6,5.0,34.0,1.0,2.0,0.0,/en/matches/eebe09b9/Tottenham-Hotspur-Brighton-and-Hove-Albion-December-26-2019-Premier-League,0.0,0.3333333333333333,0.4999999999999999
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2020-01-04,Sat,FA Cup,Third round,Home,L 0–1,Brighton,Sheffield Weds,Y,FW,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d9c16c13/Brighton-and-Hove-Albion-Sheffield-Wednesday-January-4-2020-FA-Cup,0.0,0.1666666666666666,0.5
