,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-06,Sun,Championship,Matchweek 1,Home,D 2–2,Leeds United,Cardiff City,Y,"AM,RW",90,0,0,0,0,1,0,0,0,80.0,1.0,0,2.0,0.0,0.0,0.1,7.0,1.0,54.0,62.0,87.1,7.0,45.0,2.0,6.0,3.0,/en/matches/29b786f2/Leeds-United-Cardiff-City-August-6-2023-Championship,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,2023-08-09,Wed,EFL Cup,First round,Home,W 2–1,Leeds United,Shrewsbury,N,,7,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/40f5d1d6/Leeds-United-Shrewsbury-Town-August-9-2023-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Championship,Matchweek 4,Away,W 4–3,Leeds United,Ipswich Town,Y,LM,84,1,0,0,0,4,4,0,0,51.0,0.0,0,2.0,0.4,0.4,0.1,6.0,2.0,33.0,34.0,97.1,3.0,34.0,3.0,6.0,2.0,/en/matches/12ec9f85/Ipswich-Town-Leeds-United-August-26-2023-Championship,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,2023-08-29,Tue,EFL Cup,Second round,Away,D 1 (8)–1 (9),Leeds United,Salford City,N,,60,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/749af33a/Salford-City-Leeds-United-August-29-2023-EFL-Cup,0.5,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,2023-09-07,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 1–0,co Colombia,ve Venezuela,N,,3,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/65227f28/Colombia-Venezuela-September-7-2023-WCQ----CONMEBOL-M,1.0,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,2023-09-12,Tue,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,co Colombia,cl Chile,N,,20,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/acc6c6da/Chile-Colombia-September-12-2023-WCQ----CONMEBOL-M,0.5,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,6,6,2023-09-17,Sun,Premier League,Matchweek 5,Home,D 0–0,Bournemouth,Chelsea,N,LW,18,0,0,0,0,0,0,0,0,7.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,4.0,0.0,2.0,0.0,/en/matches/be0cbf88/Bournemouth-Chelsea-September-17-2023-Premier-League,0.5,0.6666666666666666,0.5357142857142857
7,7,7,7,7,7,7,7,7,7,7,7,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 0–4,Bournemouth,Arsenal,N,LW,32,0,0,0,0,0,0,0,0,22.0,3.0,1,1.0,0.0,0.0,0.1,1.0,0.0,13.0,16.0,81.3,1.0,16.0,0.0,2.0,1.0,/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,0.0,0.6666666666666666,0.8437500000000001
8,8,8,8,8,8,8,8,8,8,8,8,2023-10-07,Sat,Premier League,Matchweek 8,Away,L 0–3,Bournemouth,Everton,N,"LM,LW",34,0,0,0,0,0,0,0,0,17.0,2.0,0,0.0,0.0,0.0,0.1,2.0,0.0,9.0,13.0,69.2,2.0,10.0,4.0,2.0,2.0,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League,0.0,0.3333333333333333,0.6190476190476192
9,9,9,9,9,9,9,9,9,9,9,9,2023-10-12,Thu,WCQ,WCQ — CONMEBOL (M),Home,D 2–2,co Colombia,uy Uruguay,N,,11,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/69c44fb6/Colombia-Uruguay-October-12-2023-WCQ----CONMEBOL-M,0.5,0.1666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,10,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 1–6,Bournemouth,Manchester City,N,LM,19,1,0,0,0,1,1,0,0,6.0,1.0,0,0.0,0.3,0.3,0.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/e75a870b/Manchester-City-Bournemouth-November-4-2023-Premier-League,0.0,0.1666666666666666,0.8645833333333333
11,11,11,11,11,11,11,11,11,11,11,11,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 2–0,Bournemouth,Newcastle Utd,N,AM,23,0,0,0,0,5,2,0,0,16.0,0.0,1,0.0,0.6,0.6,0.0,3.0,1.0,7.0,10.0,70.0,1.0,10.0,2.0,2.0,1.0,/en/matches/641024cf/Bournemouth-Newcastle-United-November-11-2023-Premier-League,1.0,0.1666666666666666,0.6
