,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,FW,65,0,0,0,0,2,0,1,0,28.0,1.0,0,1.0,0.1,0.1,0.0,3.0,0.0,14.0,18.0,77.8,2.0,10.0,1.0,2.0,1.0,/en/matches/c18d3207/Chelsea-Liverpool-August-13-2023-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"FW,RM",75,1,0,0,0,5,2,0,0,56.0,1.0,1,0.0,0.7,0.7,0.2,4.0,1.0,26.0,37.0,70.3,0.0,33.0,3.0,4.0,2.0,/en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,LM,33,0,0,0,0,0,0,0,0,19.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,9.0,14.0,64.3,2.0,11.0,4.0,0.0,0.0,/en/matches/b31156ab/Newcastle-United-Liverpool-August-27-2023-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,LW,26,0,0,0,0,0,0,0,0,19.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,69.2,0.0,8.0,4.0,1.0,0.0,/en/matches/bdbc722e/Liverpool-Aston-Villa-September-3-2023-Premier-League,1.0,0.8333333333333334,0.9444444444444444
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-11,Mon,Euro Qualifying,Group stage,Home,W 9–0,pt Portugal,lu Luxembourg,Y,AM,90,2,1,0,0,6,2,0,0,,,1,,,,,,,,,,,,,,,/en/matches/3631b2f7/Portugal-Luxembourg-September-11-2023-Euro-Qualifying,1.0,1.0,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LW,RM",55,0,0,0,0,1,0,0,0,26.0,1.0,0,1.0,0.1,0.1,0.0,2.0,1.0,15.0,19.0,78.9,0.0,17.0,2.0,3.0,3.0,/en/matches/38daebd2/Wolverhampton-Wanderers-Liverpool-September-16-2023-Premier-League,1.0,1.0,0.5416666666666667
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LW,10,1,0,0,0,2,1,0,0,9.0,0.0,0,0.0,0.5,0.5,0.0,1.0,0.0,4.0,6.0,66.7,0.0,6.0,2.0,0.0,0.0,/en/matches/90adf8b3/Liverpool-West-Ham-United-September-24-2023-Premier-League,1.0,1.0,0.6428571428571429
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-27,Wed,EFL Cup,Third round,Home,W 3–1,Liverpool,Leicester City,Y,FW,90,1,0,0,0,4,2,0,0,,,1,,,,,,,,,,,,,,,/en/matches/aa62bf21/Liverpool-Leicester-City-September-27-2023-EFL-Cup,1.0,1.0,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,RM,23,0,0,0,0,0,0,2,1,11.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,5.0,0.0,2.0,0.0,/en/matches/ec4145b4/Tottenham-Hotspur-Liverpool-September-30-2023-Premier-League,0.0,1.0,0.7500000000000001
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,eng Liverpool,be Union SG,Y,"FW,LW",90,1,0,0,0,4,2,0,0,28.0,1.0,0,0.0,0.6,0.6,0.0,0.0,0.0,12.0,16.0,75.0,1.0,17.0,2.0,3.0,1.0,/en/matches/bcfbaac5/Liverpool-Union-SG-October-5-2023-Europa-League,1.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-10-13,Fri,Euro Qualifying,Group stage,Home,W 3–2,pt Portugal,sk Slovakia,N,,4,0,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/92c4cc7b/Portugal-Slovakia-October-13-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-16,Mon,Euro Qualifying,Group stage,Away,W 5–0,pt Portugal,ba Bosnia & Herz'na,N,,25,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/1db4202d/Bosnia-and-Herzegovina-Portugal-October-16-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"FW,LW",90,0,0,0,0,4,1,0,0,44.0,0.0,0,0.0,0.1,0.1,0.1,6.0,0.0,26.0,33.0,78.8,1.0,25.0,7.0,3.0,1.0,/en/matches/e747ddb3/Merseyside-Derby-Liverpool-Everton-October-21-2023-Premier-League,1.0,1.0,0.6666666666666666
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,eng Liverpool,fr Toulouse,Y,LW,90,1,0,0,0,1,1,0,0,36.0,2.0,0,1.0,0.6,0.6,1.0,3.0,2.0,17.0,23.0,73.9,3.0,23.0,3.0,4.0,1.0,/en/matches/85a8a3a3/Liverpool-Toulouse-October-26-2023-Europa-League,1.0,1.0,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LW,57,1,0,0,0,3,2,0,0,32.0,0.0,0,0.0,1.0,1.0,0.1,2.0,0.0,17.0,21.0,81.0,0.0,15.0,2.0,2.0,1.0,/en/matches/79bf0c7f/Liverpool-Nottingham-Forest-October-29-2023-Premier-League,1.0,1.0,0.5208333333333333
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2023-11-01,Wed,EFL Cup,Fourth round,Away,W 2–1,Liverpool,Bournemouth,N,,10,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/fcc1e67b/Bournemouth-Liverpool-November-1-2023-EFL-Cup,1.0,1.0,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,LW,65,0,0,0,0,2,1,0,0,33.0,2.0,1,0.0,0.3,0.3,0.0,2.0,0.0,20.0,25.0,80.0,4.0,26.0,3.0,3.0,2.0,/en/matches/a62b97ba/Luton-Town-Liverpool-November-5-2023-Premier-League,0.5,1.0,0.2619047619047618
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,eng Liverpool,fr Toulouse,N,LW,10,1,0,0,0,2,1,0,0,9.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,6.0,6.0,100.0,1.0,10.0,2.0,0.0,0.0,/en/matches/e4192b01/Toulouse-Liverpool-November-9-2023-Europa-League,0.0,0.8333333333333334,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,LW,82,1,0,0,0,3,1,0,0,35.0,0.0,1,0.0,0.2,0.2,0.1,4.0,2.0,20.0,25.0,80.0,4.0,24.0,2.0,1.0,1.0,/en/matches/996ee990/Liverpool-Brentford-November-12-2023-Premier-League,1.0,0.5,0.9666666666666668
