,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2021-12-11,Sun,Matchweek 19,Home,L 1–3,Aston Villa,Chelsea,N,"On matchday squad, but did not play",/en/matches/61396bd8/Aston-Villa-Chelsea-December-26-2021-Premier-League,,,,,,,,,,,,,,,,,
1,2021-12-11,Sun,Matchweek 21,Away,L 1–2,Aston Villa,Brentford,N,RW,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/dfaa1817/Brentford-Aston-Villa-January-2-2022-Premier-League
