,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,2020-09-12,Sat,Premier League,Matchweek 1,Away,L 0–1,Southampton,Crystal Palace,Y,CB,90,0,0,0,0,1,1,0,0,98.0,1.0,2,0.0,0.1,0.1,0.0,0.0,0.0,68.0,91.0,74.7,8.0,65.0,1.0,0.0,0.0,/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,2020-09-16,Wed,EFL Cup,Second round,Home,L 0–2,Southampton,Brentford,Y,CB,90,0,0,0,0,1,1,0,0,,,3,,,,,,,,,,,,,,,/en/matches/451d06e1/Southampton-Brentford-September-16-2020-EFL-Cup,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2020-09-20,Sun,Premier League,Matchweek 2,Home,L 2–5,Southampton,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,65.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,43.0,60.0,71.7,6.0,31.0,0.0,0.0,0.0,/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League,0.0,0.5,0.4999999999999999
3,3,3,3,3,3,3,3,3,3,3,2020-11-01,Sun,Premier League,Matchweek 7,Away,W 4–3,Southampton,Aston Villa,N,CB,45,0,0,0,0,0,0,0,0,25.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,50.0,0.0,6.0,0.0,0.0,0.0,/en/matches/235264ac/Aston-Villa-Southampton-November-1-2020-Premier-League,1.0,0.0,0.6410256410256411
4,4,4,4,4,4,4,4,4,4,4,2020-11-06,Fri,Premier League,Matchweek 8,Home,W 2–0,Southampton,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,95.0,2.0,0,0.0,0.0,0.0,0.1,2.0,0.0,77.0,93.0,82.8,2.0,42.0,3.0,0.0,0.0,/en/matches/4117b695/Southampton-Newcastle-United-November-6-2020-Premier-League,1.0,0.3333333333333333,0.5476190476190476
5,5,5,5,5,5,5,5,5,5,5,2020-12-26,Sat,Premier League,Matchweek 15,Away,D 0–0,Southampton,Fulham,Y,CB,90,0,0,0,0,1,0,0,0,76.0,3.0,5,1.0,0.1,0.1,0.0,0.0,0.0,45.0,66.0,68.2,4.0,30.0,0.0,0.0,0.0,/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League,0.5,0.6666666666666666,0.5000000000000001
6,6,6,6,6,6,6,6,6,6,6,2020-12-29,Tue,Premier League,Matchweek 16,Home,D 0–0,Southampton,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,117.0,3.0,3,2.0,0.0,0.0,0.0,1.0,0.0,88.0,102.0,86.3,6.0,67.0,1.0,0.0,0.0,/en/matches/7577b54b/Southampton-West-Ham-United-December-29-2020-Premier-League,0.5,0.8333333333333334,0.3928571428571428
7,7,7,7,7,7,7,7,7,7,7,2021-01-04,Mon,Premier League,Matchweek 17,Home,W 1–0,Southampton,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,61.0,1.0,5,4.0,0.0,0.0,0.1,3.0,0.0,29.0,43.0,67.4,0.0,19.0,0.0,1.0,1.0,/en/matches/d0482032/Southampton-Liverpool-January-4-2021-Premier-League,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,2021-01-16,Sat,Premier League,Matchweek 19,Away,L 0–2,Southampton,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,72.0,2.0,1,3.0,0.0,0.0,0.0,0.0,0.0,45.0,59.0,76.3,3.0,37.0,0.0,0.0,0.0,/en/matches/85d4ec49/Leicester-City-Southampton-January-16-2021-Premier-League,0.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,2021-01-19,Tue,FA Cup,Third round proper,Home,W 2–0,Southampton,Shrewsbury,Y,CB,90,0,0,0,0,1,1,0,0,,,2,,,,,,,,,,,,,,,/en/matches/8ca72c38/Southampton-Shrewsbury-Town-January-19-2021-FA-Cup,1.0,0.5,0.5
