,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2022-08-28,Sun,Premier League,Matchweek 4,Away,W 2–0,Tottenham,Nott'ham Forest,N,RM,1,0,0,0,0,1,0,0,0,1.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/3c364307/Nottingham-Forest-Tottenham-Hotspur-August-28-2022-Premier-League,1.0,0.5,0.5520833333333334
1,1,1,1,1,1,2022-10-15,Sat,Premier League,Matchweek 11,Home,W 2–0,Tottenham,Everton,N,RB,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/e42493f9/Tottenham-Hotspur-Everton-October-15-2022-Premier-League,1.0,0.5,0.5357142857142857
2,2,2,2,2,2,2022-10-19,Wed,Premier League,Matchweek 12,Away,L 0–2,Tottenham,Manchester Utd,N,WB,2,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,4.0,1.0,1.0,0.0,/en/matches/eebe78c1/Manchester-United-Tottenham-Hotspur-October-19-2022-Premier-League,0.0,0.5,0.8095238095238095
3,3,3,3,3,3,2022-11-09,Wed,EFL Cup,Third round,Away,L 0–2,Tottenham,Nott'ham Forest,N,,26,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,0.0,0.6666666666666666,0.5
4,4,4,4,4,4,2023-01-01,Sun,Premier League,Matchweek 18,Home,L 0–2,Tottenham,Aston Villa,N,RW,3,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,4.0,1.0,0.0,0.0,/en/matches/63e8eaf8/Tottenham-Hotspur-Aston-Villa-January-1-2023-Premier-League,0.0,0.3333333333333333,0.5
5,5,5,5,5,5,2023-01-07,Sat,FA Cup,Third round proper,Home,W 1–0,Tottenham,Portsmouth,N,,14,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/f19491e0/Tottenham-Hotspur-Portsmouth-January-7-2023-FA-Cup,1.0,0.0,0.5
6,6,6,6,6,6,2023-02-04,Sat,Ligue 1,Matchweek 22,Home,L 1–3,Rennes,Lille,Y,RB,83,0,0,0,0,1,0,0,0,54.0,3.0,1,2.0,0.2,0.2,0.0,2.0,0.0,32.0,39.0,82.1,2.0,30.0,3.0,6.0,2.0,/en/matches/b405d94b/Rennes-Lille-February-4-2023-Ligue-1,0.0,0.3333333333333333,0.5
7,7,7,7,7,7,2023-02-12,Sun,Ligue 1,Matchweek 23,Away,L 1–3,Rennes,Toulouse,Y,RB,90,0,0,0,0,0,0,0,0,83.0,5.0,0,2.0,0.0,0.0,0.0,1.0,0.0,55.0,68.0,80.9,4.0,51.0,2.0,7.0,5.0,/en/matches/65d07eec/Toulouse-Rennes-February-12-2023-Ligue-1,0.0,0.3333333333333333,0.5
8,8,8,8,8,8,2023-02-16,Thu,Europa Lg,Knockout round play-offs,Away,L 1–2,fr Rennes,ua Shakhtar,Y,RB,90,0,0,0,0,1,0,0,0,60.0,0.0,2,3.0,0.0,0.0,0.0,2.0,0.0,40.0,50.0,80.0,7.0,34.0,2.0,4.0,1.0,/en/matches/297774ea/Shakhtar-Donetsk-Rennes-February-16-2023-Europa-League,0.0,0.3333333333333333,0.5
9,9,9,9,9,9,2023-02-19,Sun,Ligue 1,Matchweek 24,Home,W 2–0,Rennes,Clermont Foot,Y,RB,90,0,0,0,0,1,0,0,0,68.0,1.0,1,0.0,0.1,0.1,0.1,2.0,0.0,51.0,52.0,98.1,3.0,53.0,4.0,5.0,2.0,/en/matches/e1b735e0/Rennes-Clermont-Foot-February-19-2023-Ligue-1,1.0,0.0,0.5
10,10,10,10,10,10,2023-02-23,Thu,Europa Lg,Knockout round play-offs,Home,D 2 (4)–1 (5),fr Rennes,ua Shakhtar,Y,RB,120,0,0,0,0,1,1,1,0,88.0,0.0,1,0.0,0.1,0.1,0.1,4.0,0.0,68.0,83.0,81.9,6.0,68.0,7.0,2.0,1.0,/en/matches/47feaf03/Rennes-Shakhtar-Donetsk-February-23-2023-Europa-League,0.5,0.3333333333333333,0.5
11,11,11,11,11,11,2023-02-26,Sun,Ligue 1,Matchweek 25,Away,W 1–0,Rennes,Nantes,Y,RB,90,0,0,0,0,0,0,0,0,49.0,3.0,0,3.0,0.0,0.0,0.0,1.0,0.0,29.0,34.0,85.3,1.0,29.0,3.0,3.0,2.0,/en/matches/faf5f698/Nantes-Rennes-February-26-2023-Ligue-1,1.0,0.5,0.5
12,12,12,12,12,12,2023-03-05,Sun,Ligue 1,Matchweek 26,Home,L 0–1,Rennes,Marseille,Y,RB,90,0,0,0,0,0,0,0,0,59.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,48.0,53.0,90.6,7.0,36.0,4.0,4.0,3.0,/en/matches/723f16d0/Rennes-Marseille-March-5-2023-Ligue-1,0.0,0.8333333333333334,0.5
13,13,13,13,13,13,2023-03-11,Sat,Ligue 1,Matchweek 27,Away,D 0–0,Rennes,Auxerre,Y,RB,45,0,0,0,0,0,0,0,0,27.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,86.4,0.0,22.0,0.0,0.0,0.0,/en/matches/edf3e1c0/Auxerre-Rennes-March-11-2023-Ligue-1,0.5,0.5,0.5
14,14,14,14,14,14,2023-03-19,Sun,Ligue 1,Matchweek 28,Away,W 2–0,Rennes,Paris S-G,Y,RB,77,0,0,0,0,1,1,0,0,42.0,1.0,0,1.0,0.1,0.1,0.0,2.0,0.0,32.0,34.0,94.1,4.0,36.0,5.0,2.0,1.0,/en/matches/9acfad51/Paris-Saint-Germain-Rennes-March-19-2023-Ligue-1,1.0,0.5,0.5
15,15,15,15,15,15,2023-04-01,Sat,Ligue 1,Matchweek 29,Home,L 0–1,Rennes,Lens,N,RB,8,0,0,0,0,0,0,0,0,12.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,12.0,13.0,92.3,0.0,11.0,0.0,0.0,0.0,/en/matches/1130a1b6/Rennes-Lens-April-1-2023-Ligue-1,0.0,0.5,0.5
