,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-26,Sat,Championship,Matchweek 3,Away,D 1–1,Brentford,Millwall,N,LW,18,0,0,0,0,0.0,0.0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,3.0,9.0,1.0,3.0,1.0,/en/matches/f8fd46a9/Millwall-Brentford-September-26-2020-Championship,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-10-01,Thu,EFL Cup,Fourth round,Home,W 3–0,Brentford,Fulham,Y,FW,78,2,0,0,0,3.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/38aa0182/Brentford-Fulham-October-1-2020-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-10-04,Sun,Championship,Matchweek 4,Home,L 2–4,Brentford,Preston,N,RM,23,0,0,0,0,2.0,0.0,0,0,13.0,0.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,6.0,8.0,75.0,0.0,9.0,2.0,2.0,1.0,/en/matches/788c7b90/Brentford-Preston-North-End-October-4-2020-Championship,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-10-09,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,dz Algeria,ng Nigeria,Y,AM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/3c9727ec/Nigeria-Algeria-October-9-2020-Friendlies-M,1.0,0.5,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-10-13,Tue,Friendlies (M),Friendlies (M),Away,D 2–2,dz Algeria,mx Mexico,N,,1,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/fb0cc471/Mexico-Algeria-October-13-2020-Friendlies-M,0.5,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-31,Sat,Premier League,Matchweek 7,Away,L 1–2,West Ham,Liverpool,N,LW,2,0,0,0,0,0.0,0.0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,/en/matches/56ad8025/Liverpool-West-Ham-United-October-31-2020-Premier-League,0.0,0.5,0.9166666666666669
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-11-07,Sat,Premier League,Matchweek 8,Home,W 1–0,West Ham,Fulham,N,LW,19,0,1,0,0,2.0,2.0,0,0,15.0,0.0,0.0,0.0,0.2,0.2,0.1,3.0,1.0,10.0,11.0,90.9,1.0,10.0,1.0,2.0,0.0,/en/matches/f075fddc/West-Ham-United-Fulham-November-7-2020-Premier-League,1.0,0.5,0.4743589743589744
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-11-16,Mon,Africa Cup of Nations qualification,Group stage,Away,D 2–2,dz Algeria,zw Zimbabwe,Y,FW,72,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/75ebe72c/Zimbabwe-Algeria-November-16-2020-Africa-Cup-of-Nations-qualification,0.5,0.5,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-11-30,Mon,Premier League,Matchweek 10,Home,W 2–1,West Ham,Aston Villa,N,"LW,LM",45,0,1,0,0,1.0,0.0,0,0,18.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,8.0,10.0,80.0,1.0,11.0,0.0,1.0,1.0,/en/matches/2f67603c/West-Ham-United-Aston-Villa-November-30-2020-Premier-League,1.0,0.5,0.3333333333333333
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-12-05,Sat,Premier League,Matchweek 11,Home,L 1–3,West Ham,Manchester Utd,N,AM,16,0,0,0,0,2.0,1.0,0,0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,9.0,77.8,1.0,6.0,0.0,0.0,0.0,/en/matches/c2206b97/West-Ham-United-Manchester-United-December-5-2020-Premier-League,0.0,0.8333333333333334,0.6428571428571429
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2020-12-11,Fri,Premier League,Matchweek 12,Away,W 2–1,West Ham,Leeds United,Y,AM,83,0,0,0,0,6.0,1.0,0,0,38.0,1.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,15.0,24.0,62.5,3.0,30.0,6.0,3.0,3.0,/en/matches/2d36ffad/Leeds-United-West-Ham-United-December-11-2020-Premier-League,1.0,0.5,0.5714285714285714
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2020-12-16,Wed,Premier League,Matchweek 13,Home,D 1–1,West Ham,Crystal Palace,Y,"AM,LW",87,0,0,0,0,0.0,0.0,0,0,49.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,69.2,2.0,26.0,2.0,5.0,4.0,/en/matches/98bf02e0/West-Ham-United-Crystal-Palace-December-16-2020-Premier-League,0.5,0.6666666666666666,0.4487179487179486
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2020-12-21,Mon,Premier League,Matchweek 14,Away,L 0–3,West Ham,Chelsea,N,LW,24,0,0,0,0,0.0,0.0,0,0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,44.4,0.0,11.0,0.0,1.0,1.0,/en/matches/9a718e42/Chelsea-West-Ham-United-December-21-2020-Premier-League,0.0,0.5,0.4047619047619048
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2020-12-29,Tue,Premier League,Matchweek 16,Away,D 0–0,West Ham,Southampton,N,AM,31,0,0,0,0,2.0,1.0,0,0,12.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,8.0,9.0,88.9,2.0,9.0,2.0,1.0,1.0,/en/matches/7577b54b/Southampton-West-Ham-United-December-29-2020-Premier-League,0.5,0.5,0.4230769230769231
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-01-01,Fri,Premier League,Matchweek 17,Away,W 1–0,West Ham,Everton,Y,AM,90,0,0,0,0,0.0,0.0,0,0,46.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,23.0,32.0,71.9,2.0,28.0,3.0,4.0,1.0,/en/matches/0cd189c5/Everton-West-Ham-United-January-1-2021-Premier-League,1.0,0.3333333333333333,0.5
