,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Home,W 3–2,Watford,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,54.0,0.0,1,1.0,0.3,0.3,0.0,0.0,0.0,36.0,41.0,87.8,0.0,30.0,0.0,0.0,0.0,/en/matches/814b563c/Watford-Aston-Villa-August-14-2021-Premier-League,1.0,0.5,0.5238095238095238
1,1,1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Away,L 0–2,Watford,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,72.0,0.0,1,3.0,0.0,0.0,0.0,1.0,0.0,58.0,60.0,96.7,0.0,44.0,0.0,0.0,0.0,/en/matches/072af2f8/Brighton-and-Hove-Albion-Watford-August-21-2021-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2021-09-21,Tue,EFL Cup,Third round,Home,L 1–3,Watford,Stoke City,Y*,CB,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7cfca76c/Watford-Stoke-City-September-21-2021-EFL-Cup,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,2021-10-02,Sat,Premier League,Matchweek 7,Away,L 0–1,Watford,Leeds United,N,CB,23,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,4.0,0.0,0.0,0.0,/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League,0.0,0.3333333333333333,0.3333333333333333
4,4,4,4,4,4,4,4,4,2022-01-21,Fri,Premier League,Matchweek 23,Home,L 0–3,Watford,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,84.0,0.0,2,1.0,0.0,0.0,0.1,1.0,0.0,68.0,78.0,87.2,3.0,50.0,1.0,0.0,0.0,/en/matches/5c592680/Watford-Norwich-City-January-21-2022-Premier-League,0.0,0.0,0.5
5,5,5,5,5,5,5,5,5,2022-02-19,Sat,Premier League,Matchweek 26,Away,W 1–0,Watford,Aston Villa,N,CB,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/28c4ee0a/Aston-Villa-Watford-February-19-2022-Premier-League,1.0,0.0,0.5
6,6,6,6,6,6,6,6,6,2022-02-26,Sat,Premier League,Matchweek 27,Away,D 0–0,Watford,Manchester Utd,N,CB,28,0,0,0,0,0,0,0,0,7.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,/en/matches/43737c9c/Manchester-United-Watford-February-26-2022-Premier-League,0.5,0.3333333333333333,0.5
7,7,7,7,7,7,7,7,7,2022-03-10,Thu,Premier League,Matchweek 19,Away,L 0–4,Watford,Wolves,N,RB,61,0,0,0,0,2,0,0,0,32.0,1.0,0,0.0,0.1,0.1,0.0,1.0,0.0,21.0,26.0,80.8,3.0,19.0,1.0,0.0,0.0,/en/matches/d0ee0e9a/Wolverhampton-Wanderers-Watford-March-10-2022-Premier-League,0.0,0.5,0.5
8,8,8,8,8,8,8,8,8,2022-03-13,Sun,Premier League,Matchweek 29,Away,W 2–1,Watford,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,29.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,57.9,0.0,11.0,0.0,0.0,0.0,/en/matches/2c627dd8/Southampton-Watford-March-13-2022-Premier-League,1.0,0.5,0.5
9,9,9,9,9,9,9,9,9,2022-04-02,Sat,Premier League,Matchweek 31,Away,L 0–2,Watford,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,31.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,78.9,0.0,13.0,0.0,0.0,0.0,/en/matches/8e05e22c/Liverpool-Watford-April-2-2022-Premier-League,0.0,0.5,0.5
10,10,10,10,10,10,10,10,10,2022-04-09,Sat,Premier League,Matchweek 32,Home,L 0–3,Watford,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,41.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,64.3,3.0,13.0,0.0,3.0,1.0,/en/matches/b18deecf/Watford-Leeds-United-April-9-2022-Premier-League,0.0,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,2022-04-16,Sat,Premier League,Matchweek 33,Home,L 1–2,Watford,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,52.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,31.0,39.0,79.5,3.0,16.0,1.0,0.0,0.0,/en/matches/3b17352d/Watford-Brentford-April-16-2022-Premier-League,0.0,0.3333333333333333,0.5
