,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,W 1–0,Crystal Palace,Sheffield Utd,Y,LW,90,0,0,0,0,2,1,0,0,40.0,4.0,0,0.0,0.1,0.1,0.0,4.0,0.0,17.0,28.0,60.7,3.0,30.0,0.0,4.0,3.0,/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-21,Mon,Premier League,Matchweek 2,Home,L 0–1,Crystal Palace,Arsenal,Y,LW,73,0,0,0,0,0,0,0,0,24.0,1.0,0,0.0,0.0,0.0,0.1,2.0,0.0,14.0,16.0,87.5,4.0,8.0,0.0,3.0,1.0,/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,D 1–1,Crystal Palace,Brentford,Y,LW,70,0,0,0,0,1,0,0,0,35.0,1.0,0,1.0,0.0,0.0,0.2,2.0,0.0,21.0,25.0,84.0,3.0,23.0,1.0,1.0,1.0,/en/matches/537b2b0b/Brentford-Crystal-Palace-August-26-2023-Premier-League,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-29,Tue,EFL Cup,Second round,Away,W 4–2,Crystal Palace,Plymouth Argyle,N,,35,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5c205e0e/Plymouth-Argyle-Crystal-Palace-August-29-2023-EFL-Cup,1.0,0.5,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–2,Crystal Palace,Wolves,Y,LW,70,0,0,0,0,2,2,0,0,23.0,0.0,1,0.0,0.2,0.2,0.2,1.0,0.0,10.0,14.0,71.4,0.0,13.0,0.0,1.0,0.0,/en/matches/f9436d32/Crystal-Palace-Wolverhampton-Wanderers-September-3-2023-Premier-League,1.0,0.5,0.4777777777777778
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-16,Sat,Premier League,Matchweek 5,Away,L 1–3,Crystal Palace,Aston Villa,Y,"RW,LM",90,0,0,0,0,0,0,0,0,38.0,3.0,0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,23.0,65.2,3.0,19.0,0.0,2.0,0.0,/en/matches/bc77340e/Aston-Villa-Crystal-Palace-September-16-2023-Premier-League,0.0,0.8333333333333334,0.5888888888888889
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-23,Sat,Premier League,Matchweek 6,Home,D 0–0,Crystal Palace,Fulham,Y,AM,69,0,0,0,0,0,0,0,0,30.0,1.0,0,2.0,0.0,0.0,0.1,3.0,0.0,12.0,17.0,70.6,2.0,20.0,1.0,4.0,1.0,/en/matches/cf0b2b19/Crystal-Palace-Fulham-September-23-2023-Premier-League,0.5,0.6666666666666666,0.5833333333333333
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-26,Tue,EFL Cup,Third round,Away,L 0–3,Crystal Palace,Manchester Utd,Y,AM,59,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d89d2a1a/Manchester-United-Crystal-Palace-September-26-2023-EFL-Cup,0.0,0.5,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-30,Sat,Premier League,Matchweek 7,Away,W 1–0,Crystal Palace,Manchester Utd,Y,LW,77,0,0,0,0,2,0,0,0,25.0,2.0,0,1.0,0.1,0.1,0.0,0.0,0.0,7.0,10.0,70.0,0.0,15.0,3.0,2.0,0.0,/en/matches/ef2b7ab9/Manchester-United-Crystal-Palace-September-30-2023-Premier-League,1.0,0.1666666666666666,0.5520833333333333
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-07,Sat,Premier League,Matchweek 8,Home,D 0–0,Crystal Palace,Nott'ham Forest,Y,RM,25,0,0,0,0,0,0,0,0,7.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,1.0,0.0,/en/matches/1828106c/Crystal-Palace-Nottingham-Forest-October-7-2023-Premier-League,0.5,0.5,0.4270833333333333
