,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-02,Tue,Gold Cup,Semi-finals,Away,W 1–0,mx Mexico,ht Haiti,Y,FW,120,1,0,1,1,8.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/22579a0a/Haiti-Mexico-July-2-2019-Gold-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-07-07,Sun,Gold Cup,Final,Home,W 1–0,mx Mexico,us United States,Y,FW,90,0,1,0,0,5.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a75a2a32/Mexico-United-States-July-7-2019-Gold-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-07-25,Thu,Europa Lg,Second qualifying round,Home,W 2–0,eng Wolves,nir Crusaders,N,,33,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4351690b/Wolverhampton-Wanderers-Crusaders-July-25-2019-Europa-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-01,Thu,Europa Lg,Second qualifying round,Away,W 4–1,eng Wolves,nir Crusaders,Y,FW,54,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/6cdcf068/Crusaders-Wolverhampton-Wanderers-August-1-2019-Europa-League,1.0,1.0,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-08,Thu,Europa Lg,Third qualifying round,Away,W 4–0,eng Wolves,am Pyunik,Y,FW,70,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/7f00c0f3/Pyunik-Wolverhampton-Wanderers-August-8-2019-Europa-League,1.0,1.0,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-08-11,Sun,Premier League,Matchweek 1,Away,D 0–0,Wolves,Leicester City,Y,FW,90,0,0,0,0,2.0,2.0,0,0,46.0,0.0,1.0,1.0,0.2,0.2,0.3,1.0,0.0,16.0,27.0,59.3,0.0,26.0,4.0,4.0,2.0,/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League,0.5,1.0,0.5128205128205129
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-08-15,Thu,Europa Lg,Third qualifying round,Home,W 4–0,eng Wolves,am Pyunik,N,,19,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/d8224a3b/Wolverhampton-Wanderers-Pyunik-August-15-2019-Europa-League,1.0,0.8333333333333334,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-08-19,Mon,Premier League,Matchweek 2,Home,D 1–1,Wolves,Manchester Utd,Y,FW,89,0,0,0,0,2.0,0.0,0,0,32.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,20.0,23.0,87.0,3.0,18.0,2.0,6.0,4.0,/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League,0.5,0.8333333333333334,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-08-22,Thu,Europa Lg,Play-off round,Away,W 3–2,eng Wolves,it Torino,Y,FW,75,1,0,0,0,3.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/9e5890a2/Torino-Wolverhampton-Wanderers-August-22-2019-Europa-League,1.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-08-25,Sun,Premier League,Matchweek 3,Home,D 1–1,Wolves,Burnley,Y,FW,90,1,0,1,1,3.0,0.0,0,0,48.0,0.0,0.0,0.0,1.0,0.2,0.1,6.0,1.0,28.0,36.0,77.8,6.0,32.0,2.0,2.0,2.0,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League,0.5,0.8333333333333334,0.5
