,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2022-10-06,Thu,Europa Lg,Group stage,Home,W 3–0,eng Arsenal,no Bodø/Glimt,N,LW,9,0,0,0,0,2,0,0,0,13.0,0.0,0,0.0,0.4,0.4,0.0,0.0,0.0,2.0,5.0,40.0,0.0,6.0,1.0,2.0,0.0,/en/matches/91a1d3df/Arsenal-BodoGlimt-October-6-2022-Europa-League,1.0,0.5,0.5
1,1,1,1,1,1,2022-10-13,Thu,Europa Lg,Group stage,Away,W 1–0,eng Arsenal,no Bodø/Glimt,Y,LW,58,0,0,0,0,1,0,0,0,36.0,0.0,0,1.0,0.1,0.1,0.0,0.0,0.0,26.0,30.0,86.7,1.0,26.0,1.0,2.0,2.0,/en/matches/04e59775/BodoGlimt-Arsenal-October-13-2022-Europa-League,1.0,0.5,0.5
2,2,2,2,2,2,2022-10-20,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,nl PSV Eindhoven,N,RW,6,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,5.0,0.0,0.0,0.0,/en/matches/ba3ab652/Arsenal-PSV-Eindhoven-October-20-2022-Europa-League,1.0,0.5,0.5
3,3,3,3,3,3,2022-10-30,Sun,Premier League,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,N,"RW,LW",64,2,1,0,0,3,3,0,0,47.0,1.0,0,0.0,0.6,0.6,0.1,4.0,2.0,35.0,39.0,89.7,1.0,26.0,8.0,1.0,1.0,/en/matches/1b496cc1/Arsenal-Nottingham-Forest-October-30-2022-Premier-League,1.0,1.0,0.4791666666666667
4,4,4,4,4,4,2022-11-03,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,ch Zürich,Y,"RW,LW",90,0,0,0,0,2,0,0,0,41.0,3.0,0,1.0,0.1,0.1,0.1,1.0,0.0,18.0,27.0,66.7,3.0,20.0,1.0,3.0,0.0,/en/matches/75b5ef0d/Arsenal-Zurich-November-3-2022-Europa-League,1.0,1.0,0.5
5,5,5,5,5,5,2022-11-09,Wed,EFL Cup,Third round,Home,L 1–3,Arsenal,Brighton,Y,AM,90,0,1,0,0,4,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/5505b180/Arsenal-Brighton-and-Hove-Albion-November-9-2022-EFL-Cup,0.0,1.0,0.5
6,6,6,6,6,6,2022-11-12,Sat,Premier League,Matchweek 16,Away,W 2–0,Arsenal,Wolves,N,RW,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/863d7a8f/Wolverhampton-Wanderers-Arsenal-November-12-2022-Premier-League,1.0,0.6666666666666666,0.4047619047619047
7,7,7,7,7,7,2023-03-04,Sat,Premier League,Matchweek 26,Home,W 3–2,Arsenal,Bournemouth,N,LW,22,1,1,0,0,2,2,0,0,22.0,0.0,0,0.0,0.1,0.1,0.2,5.0,1.0,17.0,20.0,85.0,0.0,19.0,2.0,1.0,1.0,/en/matches/3e9a33fc/Arsenal-Bournemouth-March-4-2023-Premier-League,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,2023-03-09,Thu,Europa Lg,Round of 16,Away,D 2–2,eng Arsenal,pt Sporting CP,Y,LW,70,0,0,0,0,2,0,0,0,33.0,1.0,1,0.0,0.1,0.1,0.2,4.0,0.0,20.0,27.0,74.1,1.0,24.0,4.0,6.0,4.0,/en/matches/0f67bdaa/Sporting-CP-Arsenal-March-9-2023-Europa-League,0.5,0.6666666666666666,0.5
9,9,9,9,9,9,2023-03-12,Sun,Premier League,Matchweek 27,Away,W 3–0,Arsenal,Fulham,N,"LW,RW",19,0,0,0,0,1,0,0,0,11.0,1.0,0,1.0,0.0,0.0,0.2,2.0,0.0,5.0,7.0,71.4,1.0,5.0,1.0,1.0,1.0,/en/matches/d238973c/Fulham-Arsenal-March-12-2023-Premier-League,1.0,0.8333333333333334,0.5
