,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,2020-09-04,Fri,UEFA Nations League,League B,Home,L 1–2,no Norway,at Austria,Y,FW,63,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/1da886e5/Norway-Austria-September-4-2020-UEFA-Nations-League,0.0,0.5,0.5
1,1,1,1,2020-09-07,Mon,UEFA Nations League,League B,Away,W 5–1,no Norway,nir Northern Ireland,N,,20,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/f37a0077/Northern-Ireland-Norway-September-7-2020-UEFA-Nations-League,1.0,0.5,0.5
2,2,2,2,2020-09-27,Sun,Championship,Matchweek 3,Home,W 1–0,Bournemouth,Norwich City,N,FW,25,0,0,0,0,0,0,0,0,11.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,66.7,0.0,2.0,0.0,0.0,0.0,/en/matches/28c4d56a/Bournemouth-Norwich-City-September-27-2020-Championship,1.0,0.5,0.5
3,3,3,3,2020-10-08,Thu,UEFA Euro Qualifying,Semi-finals,Home,L 1–2,no Norway,rs Serbia,N,,55,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/166bbe3f/Norway-Serbia-October-8-2020-UEFA-Euro-Qualifying,0.0,0.6666666666666666,0.5
4,4,4,4,2020-10-11,Sun,UEFA Nations League,League B,Home,W 4–0,no Norway,ro Romania,N,,12,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/afef15a0/Norway-Romania-October-11-2020-UEFA-Nations-League,1.0,0.6666666666666666,0.5
5,5,5,5,2020-10-14,Wed,UEFA Nations League,League B,Home,W 1–0,no Norway,nir Northern Ireland,Y,FW,64,0,0,0,0,1,1,1,0,,,0,,,,,,,,,,,,,,,/en/matches/55440533/Norway-Northern-Ireland-October-14-2020-UEFA-Nations-League,1.0,0.6666666666666666,0.5
6,6,6,6,2020-10-24,Sat,Championship,Matchweek 7,Away,D 1–1,Bournemouth,Watford,Y,FW,90,0,0,0,0,2,1,0,0,40.0,1.0,1,1.0,0.2,0.2,0.0,2.0,0.0,23.0,29.0,79.3,2.0,29.0,0.0,1.0,0.0,/en/matches/5b9b2f7d/Watford-Bournemouth-October-24-2020-Championship,0.5,0.6666666666666666,0.5
7,7,7,7,2020-10-28,Wed,Championship,Matchweek 8,Home,W 1–0,Bournemouth,Bristol City,Y,FW,90,0,0,0,0,1,0,0,0,52.0,0.0,0,1.0,0.0,0.0,0.1,1.0,0.0,22.0,31.0,71.0,3.0,36.0,1.0,5.0,2.0,/en/matches/209a8405/Bournemouth-Bristol-City-October-28-2020-Championship,1.0,0.8333333333333334,0.5
8,8,8,8,2020-10-31,Sat,Championship,Matchweek 9,Home,D 1–1,Bournemouth,Derby County,N,RW,45,0,0,0,0,1,0,0,0,14.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,8.0,12.0,66.7,1.0,7.0,0.0,1.0,0.0,/en/matches/2beb59e3/Bournemouth-Derby-County-October-31-2020-Championship,0.5,0.8333333333333334,0.5
9,9,9,9,2020-11-03,Tue,Championship,Matchweek 10,Away,L 0–1,Bournemouth,Sheffield Weds,Y,FW,90,0,0,0,0,2,1,0,0,31.0,0.0,0,0.0,0.3,0.3,0.5,2.0,0.0,14.0,20.0,70.0,1.0,24.0,3.0,1.0,0.0,/en/matches/7da24cda/Sheffield-Wednesday-Bournemouth-November-3-2020-Championship,0.0,0.6666666666666666,0.5
10,10,10,10,2020-12-15,Tue,Championship,Matchweek 19,Home,W 1–0,Bournemouth,Wycombe,N,FW,10,0,0,0,0,0,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.3,1.0,0.0,7.0,8.0,87.5,1.0,7.0,3.0,2.0,1.0,/en/matches/98972bdb/Bournemouth-Wycombe-Wanderers-December-15-2020-Championship,1.0,0.5,0.5
11,11,11,11,2020-12-30,Wed,Championship,Matchweek 22,Away,L 1–2,Bournemouth,Brentford,N,FW,22,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,11.0,72.7,0.0,7.0,1.0,1.0,1.0,/en/matches/8abb9ff8/Brentford-Bournemouth-December-30-2020-Championship,0.0,0.5,0.5
12,12,12,12,2021-01-02,Sat,Championship,Matchweek 23,Away,W 1–0,Bournemouth,Stoke City,N,FW,5,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,6.0,1.0,1.0,0.0,/en/matches/7a09e34f/Stoke-City-Bournemouth-January-2-2021-Championship,1.0,0.3333333333333333,0.5
13,13,13,13,2021-01-09,Sat,FA Cup,Third round proper,Home,W 4–1,Bournemouth,Oldham Athletic,Y,FW,90,2,1,0,0,3,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/994f385b/Bournemouth-Oldham-Athletic-January-9-2021-FA-Cup,1.0,0.6666666666666666,0.5
