,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,2021-08-24,Tue,EFL Cup,Second round,Home,W 6–0,Norwich City,Bournemouth,Y,CM,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/487873e3/Norwich-City-Bournemouth-August-24-2021-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,2021-12-05,Sun,Premier League,Matchweek 15,Away,L 0–3,Norwich City,Tottenham,N,CM,10,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,1.0,9.0,0.0,1.0,1.0,/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League,0.0,0.5,0.6904761904761906
2,2,2,2,2,2,2,2,2,2,2,2021-12-11,Sat,Premier League,Matchweek 16,Home,L 0–1,Norwich City,Manchester Utd,N,CB,70,0,0,0,0,1,0,0,0,52.0,1.0,2,2.0,0.4,0.4,0.0,0.0,0.0,35.0,39.0,89.7,3.0,33.0,0.0,0.0,0.0,/en/matches/11a67612/Norwich-City-Manchester-United-December-11-2021-Premier-League,0.0,0.5,0.7738095238095238
3,3,3,3,3,3,3,3,3,3,3,2021-12-14,Tue,Premier League,Matchweek 17,Home,L 0–2,Norwich City,Aston Villa,Y,"CB,CM",90,0,0,0,0,2,1,0,0,69.0,4.0,2,2.0,0.1,0.1,0.0,0.0,0.0,41.0,47.0,87.2,1.0,32.0,0.0,0.0,0.0,/en/matches/c78a1d7d/Norwich-City-Aston-Villa-December-14-2021-Premier-League,0.0,0.3333333333333333,0.3809523809523809
4,4,4,4,4,4,4,4,4,4,4,2021-12-28,Tue,Premier League,Matchweek 20,Away,L 0–3,Norwich City,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,53.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43.0,49.0,87.8,3.0,36.0,1.0,1.0,1.0,/en/matches/59ef01ea/Crystal-Palace-Norwich-City-December-28-2021-Premier-League,0.0,0.0,0.4285714285714285
5,5,5,5,5,5,5,5,5,5,5,2022-01-09,Sun,FA Cup,Third round proper,Away,W 1–0,Norwich City,Charlton Ath,Y,RM,90,0,0,0,0,1,1,1,0,,,0,,,,,,,,,,,,,,,/en/matches/d1fe327a/Charlton-Athletic-Norwich-City-January-9-2022-FA-Cup,1.0,0.0,0.5
6,6,6,6,6,6,6,6,6,6,6,2022-01-15,Sat,Premier League,Matchweek 22,Home,W 2–1,Norwich City,Everton,Y,"CM,DM",90,0,0,0,0,1,0,0,0,40.0,7.0,0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,31.0,58.1,1.0,7.0,1.0,0.0,0.0,/en/matches/4574a1a6/Norwich-City-Everton-January-15-2022-Premier-League,1.0,0.3333333333333333,0.5
7,7,7,7,7,7,7,7,7,7,7,2022-01-21,Fri,Premier League,Matchweek 23,Away,W 3–0,Norwich City,Watford,Y,CM,20,0,0,0,0,0,0,0,0,6.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,1.0,2.0,0.0,0.0,0.0,/en/matches/5c592680/Watford-Norwich-City-January-21-2022-Premier-League,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,2022-05-08,Sun,Premier League,Matchweek 36,Home,L 0–4,Norwich City,West Ham,Y,DM,90,0,0,0,0,1,0,0,0,58.0,5.0,0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,47.0,87.2,3.0,35.0,1.0,0.0,0.0,/en/matches/a370b8d5/Norwich-City-West-Ham-United-May-8-2022-Premier-League,0.0,1.0,0.5
9,9,9,9,9,9,9,9,9,9,9,2022-05-11,Wed,Premier League,Matchweek 21,Away,L 0–3,Norwich City,Leicester City,N,"DM,CM",33,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,1.0,8.0,0.0,1.0,0.0,/en/matches/2ae05ae6/Leicester-City-Norwich-City-May-11-2022-Premier-League,0.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,2022-05-15,Sun,Premier League,Matchweek 37,Away,D 1–1,Norwich City,Wolves,N,CM,21,0,0,0,0,0,0,0,0,22.0,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,19.0,21.0,90.5,2.0,16.0,1.0,1.0,1.0,/en/matches/7f0d5ca8/Wolverhampton-Wanderers-Norwich-City-May-15-2022-Premier-League,0.5,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,11,11,2022-05-22,Sun,Premier League,Matchweek 38,Home,L 0–5,Norwich City,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,58.0,1.0,3,1.0,0.0,0.0,0.0,1.0,0.0,36.0,51.0,70.6,4.0,41.0,0.0,0.0,0.0,/en/matches/771ecae9/Norwich-City-Tottenham-Hotspur-May-22-2022-Premier-League,0.0,0.1666666666666666,0.5
