,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,2020-09-19,Sat,Primeira Liga,Matchweek 1,Home,W 3–1,Porto,Braga,Y,LB,90,2,1,2,2,0,0,0,0,67.0,1.0,1,1.0,1.6,0.0,0.5,5.0,1.0,39.0,57.0,68.4,3.0,32.0,2.0,2.0,2.0,/en/matches/9af2118f/Porto-Braga-September-19-2020-Primeira-Liga,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,2020-09-26,Sat,Primeira Liga,Matchweek 2,Away,W 5–0,Porto,Boavista,Y,LB,77,0,0,0,0,1,0,0,0,58.0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,34.0,51.0,66.7,5.0,25.0,3.0,1.0,1.0,/en/matches/b5fab935/Boavista-Porto-September-26-2020-Primeira-Liga,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2020-10-03,Sat,Primeira Liga,Matchweek 3,Home,L 2–3,Porto,Marítimo,Y,LB,90,0,1,0,1,5,2,0,0,92.0,3.0,0,1.0,1.0,0.2,0.1,2.0,1.0,66.0,79.0,83.5,6.0,54.0,2.0,1.0,0.0,/en/matches/6f173754/Porto-Maritimo-October-3-2020-Primeira-Liga,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,2020-10-09,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 5–0,br Brazil,bo Bolivia,N,,14,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/4928c81b/Brazil-Bolivia-October-9-2020-WCQ----CONMEBOL-M,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,2020-10-13,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 4–2,br Brazil,pe Peru,N,,22,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5dcbc304/Peru-Brazil-October-13-2020-WCQ----CONMEBOL-M,1.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,2020-10-20,Tue,Champions Lg,Group stage,Away,W 2–1,eng Manchester Utd,fr Paris S-G,Y,WB,66,0,0,0,0,0,0,0,0,35.0,1.0,0,0.0,0.0,0.0,0.2,4.0,0.0,20.0,31.0,64.5,1.0,17.0,0.0,0.0,0.0,/en/matches/58dadb06/Paris-Saint-Germain-Manchester-United-October-20-2020-Champions-League,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,2020-11-13,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 1–0,br Brazil,ve Venezuela,N,,1,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/240cd6ea/Brazil-Venezuela-November-13-2020-WCQ----CONMEBOL-M,1.0,1.0,0.5
7,7,7,7,7,7,7,7,7,7,2020-11-21,Sat,Premier League,Matchweek 9,Home,W 1–0,Manchester Utd,West Brom,Y,LB,90,0,0,0,0,2,0,0,0,101.0,2.0,2,1.0,0.0,0.0,0.0,2.0,0.0,69.0,90.0,76.7,9.0,51.0,4.0,0.0,0.0,/en/matches/50004f43/Manchester-United-West-Bromwich-Albion-November-21-2020-Premier-League,1.0,1.0,0.2142857142857142
8,8,8,8,8,8,8,8,8,8,2020-11-24,Tue,Champions Lg,Group stage,Home,W 4–1,eng Manchester Utd,tr Başakşehir,Y,LB,90,0,0,0,0,0,0,0,0,68.0,2.0,0,2.0,0.0,0.0,0.3,4.0,0.0,43.0,59.0,72.9,2.0,29.0,3.0,1.0,0.0,/en/matches/22a1280b/Manchester-United-Istanbul-Basaksehir-November-24-2020-Champions-League,1.0,1.0,0.5
9,9,9,9,9,9,9,9,9,9,2020-11-29,Sun,Premier League,Matchweek 10,Away,W 3–2,Manchester Utd,Southampton,Y,LB,83,0,0,0,0,0,0,0,0,93.0,3.0,3,1.0,0.0,0.0,0.3,2.0,0.0,57.0,79.0,72.2,8.0,45.0,2.0,1.0,0.0,/en/matches/e0a84e7e/Southampton-Manchester-United-November-29-2020-Premier-League,1.0,1.0,0.75
10,10,10,10,10,10,10,10,10,10,2020-12-02,Wed,Champions Lg,Group stage,Home,L 1–3,eng Manchester Utd,fr Paris S-G,Y,LB,90,0,0,0,0,0,0,0,0,59.0,2.0,0,1.0,0.0,0.0,0.1,3.0,0.0,36.0,52.0,69.2,0.0,25.0,2.0,1.0,1.0,/en/matches/9b0bc4ea/Manchester-United-Paris-Saint-Germain-December-2-2020-Champions-League,0.0,1.0,0.5
11,11,11,11,11,11,11,11,11,11,2020-12-05,Sat,Premier League,Matchweek 11,Away,W 3–1,Manchester Utd,West Ham,Y,LB,90,0,1,0,0,0,0,0,0,72.0,0.0,2,0.0,0.0,0.0,0.1,3.0,1.0,57.0,65.0,87.7,9.0,31.0,1.0,0.0,0.0,/en/matches/c2206b97/West-Ham-United-Manchester-United-December-5-2020-Premier-League,1.0,0.6666666666666666,0.8809523809523812
12,12,12,12,12,12,12,12,12,12,2020-12-08,Tue,Champions Lg,Group stage,Away,L 2–3,eng Manchester Utd,de RB Leipzig,Y,WB,45,0,0,0,0,0,0,0,0,32.0,2.0,1,2.0,0.0,0.0,0.1,2.0,0.0,12.0,26.0,46.2,0.0,7.0,1.0,1.0,1.0,/en/matches/cdcc523b/RB-Leipzig-Manchester-United-December-8-2020-Champions-League,0.0,0.6666666666666666,0.5
13,13,13,13,13,13,13,13,13,13,2020-12-17,Thu,Premier League,Matchweek 13,Away,W 3–2,Manchester Utd,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,0,0,93.0,2.0,1,1.0,0.0,0.0,0.1,3.0,0.0,59.0,81.0,72.8,1.0,58.0,1.0,1.0,1.0,/en/matches/3b3cc5f6/Sheffield-United-Manchester-United-December-17-2020-Premier-League,1.0,0.3333333333333333,0.1071428571428571
14,14,14,14,14,14,14,14,14,14,2020-12-20,Sun,Premier League,Matchweek 14,Home,W 6–2,Manchester Utd,Leeds United,N,LB,31,0,0,0,0,1,1,0,0,19.0,1.0,0,1.0,0.0,0.0,0.1,3.0,0.0,10.0,13.0,76.9,0.0,6.0,1.0,1.0,0.0,/en/matches/b7ab53b3/Manchester-United-Leeds-United-December-20-2020-Premier-League,1.0,0.6666666666666666,0.4047619047619047
15,15,15,15,15,15,15,15,15,15,2020-12-23,Wed,EFL Cup,Quarter-finals,Away,W 2–0,Manchester Utd,Everton,Y,LB,83,0,0,0,0,1,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/6b313389/Everton-Manchester-United-December-23-2020-EFL-Cup,1.0,0.6666666666666666,0.5
16,16,16,16,16,16,16,16,16,16,2020-12-29,Tue,Premier League,Matchweek 16,Home,W 1–0,Manchester Utd,Wolves,Y,LB,45,0,0,0,0,0,0,0,0,60.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,57.0,82.5,5.0,48.0,6.0,0.0,0.0,/en/matches/a8d659e4/Manchester-United-Wolverhampton-Wanderers-December-29-2020-Premier-League,1.0,1.0,0.4487179487179487
17,17,17,17,17,17,17,17,17,17,2021-01-09,Sat,FA Cup,Third round proper,Home,W 1–0,Manchester Utd,Watford,Y,LB,90,0,1,0,0,1,1,1,0,,,2,,,,,,,,,,,,,,,/en/matches/2cccbd68/Manchester-United-Watford-January-9-2021-FA-Cup,1.0,1.0,0.5
18,18,18,18,18,18,18,18,18,18,2021-01-27,Wed,Premier League,Matchweek 20,Home,L 1–2,Manchester Utd,Sheffield Utd,Y,LB,81,0,1,0,0,1,0,0,0,79.0,0.0,0,0.0,0.0,0.0,0.2,5.0,1.0,66.0,76.0,86.8,5.0,44.0,7.0,0.0,0.0,/en/matches/6e963555/Manchester-United-Sheffield-United-January-27-2021-Premier-League,0.0,1.0,0.5
19,19,19,19,19,19,19,19,19,19,2021-02-09,Tue,FA Cup,Fifth round proper,Home,W 1–0,Manchester Utd,West Ham,Y,LB,90,0,0,0,0,1,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/286eff41/Manchester-United-West-Ham-United-February-9-2021-FA-Cup,1.0,0.6666666666666666,0.5
